"1" "2" "3" "4" "5" "6" "7" "8" "9"
"100361" 3.73073097216901e-10 0.00439954960839034 5.65943848462213e-10 9.35530779833916e-10 8.86858333140815e-05 5.18512939015147e-05 2.19195959872295e-05 5.90314559963566e-06 0.000929597717977276
"100887" 4.80482771261652e-09 0.0077898639254444 0.00075025406048034 9.60500404974986e-10 2.775824106028e-10 8.74958635072631e-06 6.04662417877259e-05 1.0708139164001e-09 0.00132971581085625
"102029" 0.0001035346442135 0.00903361002247404 0.000661239172712328 0.00144906480840964 1.79146994261491e-07 7.08143802071608e-10 8.97082344957095e-05 6.25457065032395e-05 0.000790156569901746
"102173" 0.00570595566996433 0.00065568041754155 4.92687642400556e-05 1.03357532217842e-09 2.664466132402e-10 5.42040607404686e-10 4.7576076005705e-09 9.86787661244396e-10 7.41989321906855e-05
"102282" 2.08417387471867e-10 4.16099793670638e-10 3.72517693564111e-10 0.00502777157495361 0.000119101321255014 5.07643421604798e-06 8.49121852110354e-10 6.4773089825439e-10 7.12287841659098e-10
"102350" 0.000794199879981605 5.9745827811617e-06 0.00127010440084922 7.09945123110829e-05 2.59245721901368e-10 1.1693396984321e-06 8.46541181752362e-10 3.22825047889503e-08 1.63102660022562e-09
"102370" 0.000172718651486634 0.00236160979036103 0.0005970472756617 0.00150180522570391 8.84581818856908e-07 5.22889934123061e-10 8.41244462789773e-10 2.58747548075498e-09 0.00195194222077874
"102371" 0.00250164856962416 0.00236345285617382 0.00365684962221391 6.76517874174593e-06 5.15148122942749e-07 5.09341210735948e-10 7.98330922494697e-10 6.76641051515584e-10 2.05106734508e-06
"102397" 3.42638789518362e-05 1.34034485917119e-09 9.18295294095317e-06 0.0066060070232551 0.000599311488842138 0.00758111726999309 7.7798903035501e-06 8.33578847403966e-06 2.58400468011199e-06
"102445" 3.87230784107796e-10 0.00930009044946309 0.0011388806950999 6.56513445938108e-10 2.71843991335205e-10 5.65061658717317e-10 8.29841937656971e-10 6.77771003574001e-10 1.30670792873626e-09
"102466" 0.00103533793592216 9.04054601876056e-10 0.00321315037138921 0.00343287912203976 0.000235038397079959 2.04273151950146e-05 0.000402980567623683 7.54270073880164e-10 8.23271740035205e-10
"102503" 0.00552150358239144 0.00137273043189854 0.000164630178514758 0.000593395221091384 1.77489425554484e-07 4.96593643681174e-10 8.00248543766692e-10 3.27003436593419e-06 8.88283776483313e-10
"200069" 2.35208871128011e-10 0.0178153044363707 3.49990118195469e-05 0.000605074539965917 0.00134482797165258 5.75841930523465e-10 1.21686377149357e-09 7.88287896250747e-10 1.28742236820701e-09
"200108" 3.28593789822818e-10 0.00090836819443011 0.00819114836696154 0.00383877977858973 5.58429323238729e-10 0.000219915784652811 0.000132388518335761 0.00238425411948841 0.0187948720012638
"200174" 0.00261144208195647 0.00700866218626282 4.34281721028888e-06 2.31998691216916e-06 8.33784709395197e-05 1.44693407504892e-05 4.1810858658455e-05 9.71793685386935e-10 0.000772110481281513
"200195" 4.98327602712148e-10 0.00617954144936731 0.000149305608334142 4.05780764501509e-10 0.000150856040743295 5.56041740718865e-10 8.08257930767031e-10 6.54146944605903e-10 7.11488950708229e-10
