"1" "2"
"1" 5.24792202817746e-06 1.00175753601536e-10
"2" 5.2479219568566e-06 1.00317003484144e-10
"3" 5.24792202432329e-06 1.00183386721166e-10
"4" 5.24791963293906e-06 1.04919487036635e-10
"5" 5.05763481952348e-11 1.03934302645927e-05
"6" 5.49693466185738e-11 1.03934215643258e-05
"7" 5.05715385480054e-11 1.03934302741182e-05
"8" 5.05763481952348e-11 1.03934302645927e-05
"9" 5.10536371996822e-11 1.03934293193291e-05
"10" 5.05715385480054e-11 1.03934302741182e-05
"11" 5.10536371996822e-11 1.03934293193291e-05
"12" 5.2479219568566e-06 1.00317003484144e-10
"13" 6.03526356526343e-11 1.03934109028032e-05
"14" 6.03526356526343e-11 1.03934109028032e-05
"15" 5.05715385480054e-11 1.03934302741182e-05
"16" 5.05715385480054e-11 1.03934302741182e-05
"17" 5.08049740883959e-11 1.03934298118026e-05
"18" 5.24792198712122e-06 1.00257064857371e-10
"19" 5.24791820862735e-06 1.07740314858713e-10
"20" 5.0580194432618e-11 1.03934302569753e-05
"21" 5.05715385480054e-11 1.03934302741182e-05
"22" 5.24791820862735e-06 1.07740314858713e-10
"23" 5.10536371996822e-11 1.03934293193291e-05
"24" 5.05924105921656e-11 1.03934302327814e-05
"25" 5.05763481952348e-11 1.03934302645927e-05
"26" 5.0580194432618e-11 1.03934302569753e-05
"27" 5.05715385480054e-11 1.03934302741182e-05
"28" 5.38176036028472e-11 3.11800840841549e-05
"29" 5.2479217911226e-06 1.00645237160152e-10
"30" 5.05715385480054e-11 1.03934302741182e-05
"31" 5.05763481952348e-11 1.03934302645927e-05
"32" 5.05763481952348e-11 1.03934302645927e-05
"33" 5.10536371996822e-11 1.03934293193291e-05
"34" 5.24791820862735e-06 1.07740314858713e-10
"35" 1.23157148995989e-10 1.03932865194138e-05
"36" 5.05763481952348e-11 1.03934302645927e-05
"37" 5.05763481952348e-11 1.03934302645927e-05
"38" 5.05763481952348e-11 1.03934302645927e-05
"39" 2.50156196582057e-09 1.03885761246236e-05
"40" 5.24792202745378e-06 1.00177186827867e-10
"41" 5.05763481952348e-11 1.03934302645927e-05
"42" 5.05763481952348e-11 1.03934302645927e-05
"43" 5.05924105921656e-11 1.03934302327814e-05
"44" 5.05763481952348e-11 1.03934302645927e-05
"45" 5.24792202745378e-06 1.00177186827867e-10
"46" 5.0580194432618e-11 1.03934302569753e-05
"47" 5.0580194432618e-11 1.03934302569753e-05
"48" 5.05763481952348e-11 1.03934302645927e-05
"49" 5.05763481952348e-11 1.03934302645927e-05
"50" 5.2479217911226e-06 1.00645237160152e-10
"51" 6.25458741790373e-06 8.39974470654473e-06
"52" 5.08114465931649e-11 4.15734201572131e-05
"53" 1.04957916522245e-05 1.03826219281043e-10
"54" 5.24792198712122e-06 1.00257064857371e-10
"55" 5.10536371996822e-11 1.03934293193291e-05
"56" 5.06265724391513e-11 1.03934301651244e-05
"57" 5.10536371996822e-11 1.03934293193291e-05
"58" 5.24791820862735e-06 1.07740314858713e-10
"59" 5.05763481952348e-11 1.03934302645927e-05
"60" 5.10536371996822e-11 1.03934293193291e-05
"61" 5.24791820862735e-06 1.07740314858713e-10
"62" 5.05763481952348e-11 1.03934302645927e-05
"63" 5.05715385480054e-11 1.03934302741182e-05
"64" 5.05715385480054e-11 1.03934302741182e-05
"65" 5.05924105921656e-11 1.03934302327814e-05
"66" 5.05924105921656e-11 1.03934302327814e-05
"67" 5.10536371996822e-11 1.03934293193291e-05
"68" 5.36411790420828e-11 3.11800844335611e-05
"69" 5.10536371996822e-11 1.03934293193291e-05
"70" 5.05711701351538e-11 1.00155438070093e-10
"71" 5.05763481952348e-11 1.03934302645927e-05
"72" 5.24792194437381e-06 1.00341725461083e-10
