"1" "2" "3"
"1" 6.28367068354657e-06 5.9134430125663e-11 3.3892547436112e-10
"2" 6.28367026086641e-06 5.91343448531854e-11 3.42473009711714e-10
"3" 6.13400465626922e-11 9.2030099610576e-06 3.39026209148222e-10
"4" 6.28366337303805e-06 5.92063185569376e-11 3.99861884661479e-10
"5" 4.03714317550292e-11 9.20294707201677e-06 8.7532963531964e-10
"6" 4.22928487424512e-11 9.20303771065899e-06 3.39867648360624e-10
"7" 4.03684244616769e-11 9.20304071346347e-06 3.3881165276917e-10
"8" 4.03714317550292e-11 9.20294707201677e-06 8.7532963531964e-10
"9" 4.03899342749268e-11 9.20303839067806e-06 3.51940171043773e-10
"10" 4.03684244616769e-11 9.20304071346347e-06 3.3881165276917e-10
"11" 4.03899342749268e-11 9.20303839067806e-06 3.51940171043773e-10
"12" 6.28367026086641e-06 5.91343448531854e-11 3.42473009711714e-10
"13" 4.85814263758381e-11 9.2030276050141e-06 3.44998183907172e-10
"14" 4.85814263758381e-11 9.2030276050141e-06 3.44998183907172e-10
"15" 4.03684244616769e-11 9.20304071346347e-06 3.3881165276917e-10
"16" 4.03684244616769e-11 9.20304071346347e-06 3.3881165276917e-10
"17" 4.04300737152245e-11 5.91516775697557e-11 5.27312978488054e-05
"18" 5.48701402360464e-11 9.20301936673734e-06 3.39427985910878e-10
"19" 6.28366737449882e-06 6.37451358033831e-11 3.40276057172176e-10
"20" 4.0373913240317e-11 9.20304063313836e-06 3.39225836617553e-10
"21" 4.03684244616769e-11 9.20304071346347e-06 3.3881165276917e-10
"22" 6.28366737449882e-06 6.37451358033831e-11 3.40276057172176e-10
"23" 4.03899342749268e-11 9.20303839067806e-06 3.51940171043773e-10
"24" 4.03809309867394e-11 9.20303176597577e-06 3.8997373824818e-10
"25" 4.03714317550292e-11 9.20294707201677e-06 8.7532963531964e-10
"26" 4.0373913240317e-11 9.20304063313836e-06 3.39225836617553e-10
"27" 4.03684244616769e-11 9.20304071346347e-06 3.3881165276917e-10
"28" 4.27951720470702e-11 2.76089984761269e-05 3.49595373443869e-10
"29" 6.28367046078599e-06 5.93776310342769e-11 3.39401351384441e-10
"30" 4.03684244616769e-11 9.20304071346347e-06 3.3881165276917e-10
"31" 4.03714317550292e-11 9.20294707201677e-06 8.7532963531964e-10
"32" 4.03714317550292e-11 9.20294707201677e-06 8.7532963531964e-10
"33" 4.03899342749268e-11 9.20303839067806e-06 3.51940171043773e-10
"34" 6.28366737449882e-06 6.37451358033831e-11 3.40276057172176e-10
"35" 1.16742728457899e-10 9.20292794781952e-06 3.44014984290467e-10
"36" 4.03714317550292e-11 9.20294707201677e-06 8.7532963531964e-10
"37" 4.03714317550292e-11 9.20294707201677e-06 8.7532963531964e-10
"38" 4.03714317550292e-11 9.20294707201677e-06 8.7532963531964e-10
"39" 5.16504271503626e-11 9.2029917628693e-06 5.2461096187746e-10
"40" 6.28367068195631e-06 5.91318595372651e-11 3.38953548400966e-10
"41" 4.03714317550292e-11 9.20294707201677e-06 8.7532963531964e-10
"42" 4.03714317550292e-11 9.20294707201677e-06 8.7532963531964e-10
"43" 4.03809309867394e-11 9.20303176597577e-06 3.8997373824818e-10
"44" 4.03714317550292e-11 9.20294707201677e-06 8.7532963531964e-10
"45" 6.28367068195631e-06 5.91318595372651e-11 3.38953548400966e-10
"46" 4.0373913240317e-11 9.20304063313836e-06 3.39225836617553e-10
"47" 4.0373913240317e-11 9.20304063313836e-06 3.39225836617553e-10
"48" 4.03714317550292e-11 9.20294707201677e-06 8.7532963531964e-10
"49" 4.03714317550292e-11 9.20294707201677e-06 8.7532963531964e-10
"50" 6.28367046078599e-06 5.93776310342769e-11 3.39401351384441e-10
"51" 7.56095072344684e-06 7.33233952565498e-06 3.48190381438927e-10
"52" 4.03791765516479e-11 3.68119843722325e-05 3.45251134123036e-10
"53" 1.25672994155906e-05 6.13519290717178e-11 3.39735452071666e-10
"54" 5.48701402360464e-11 9.20301936673734e-06 3.39427985910878e-10
"55" 4.03899342749268e-11 9.20303839067806e-06 3.51940171043773e-10
"56" 4.03772266927507e-11 5.91867032549586e-11 5.27312980915982e-05
"57" 4.03899342749268e-11 9.20303839067806e-06 3.51940171043773e-10
"58" 6.28366737449882e-06 6.37451358033831e-11 3.40276057172176e-10
"59" 4.03714317550292e-11 9.20294707201677e-06 8.7532963531964e-10
"60" 4.03899342749268e-11 9.20303839067806e-06 3.51940171043773e-10
"61" 6.28366737449882e-06 6.37451358033831e-11 3.40276057172176e-10
"62" 4.03714317550292e-11 9.20294707201677e-06 8.7532963531964e-10
"63" 4.03684244616769e-11 9.20304071346347e-06 3.3881165276917e-10
"64" 4.03684244616769e-11 9.20304071346347e-06 3.3881165276917e-10
"65" 4.03809309867394e-11 9.20303176597577e-06 3.8997373824818e-10
"66" 4.03809309867394e-11 9.20303176597577e-06 3.8997373824818e-10
"67" 4.03899342749268e-11 9.20303839067806e-06 3.51940171043773e-10
"68" 4.27891745071703e-11 2.76089992328334e-05 3.45309949362501e-10
"69" 4.03899342749268e-11 9.20303839067806e-06 3.51940171043773e-10
"70" 4.03681811576186e-11 5.91230877915698e-11 3.38761642641983e-10
"71" 4.03714317550292e-11 9.20294707201677e-06 8.7532963531964e-10
"72" 6.28367050753752e-06 5.92629535558533e-11 3.3966609735285e-10
"73" 6.28366337303805e-06 5.92063185569376e-11 3.99861884661479e-10
"74" 4.03714317550292e-11 9.20294707201677e-06 8.7532963531964e-10
"75" 4.03899342749268e-11 9.20303839067806e-06 3.51940171043773e-10
"76" 6.28366337303805e-06 5.92063185569376e-11 3.99861884661479e-10
"77" 6.43897272309441e-05 0.000711834992775976 7.40606225766031e-05
"78" 4.03714317550292e-11 9.20294707201677e-06 8.7532963531964e-10
"79" 1.95227410210439e-05 0.000173872773784085 3.72216868790811e-10
"80" 4.03714317550292e-11 9.20294707201677e-06 8.7532963531964e-10
"81" 4.03899342749268e-11 9.20303839067806e-06 3.51940171043773e-10
"82" 4.0385432184028e-11 1.84060168477621e-05 3.69983040703419e-10
"83" 4.03684244616769e-11 9.20304071346347e-06 3.3881165276917e-10
"84" 1.16742728457899e-10 9.20292794781952e-06 3.44014984290467e-10
"85" 4.03899342749268e-11 9.20303839067806e-06 3.51940171043773e-10
"86" 4.03899342749268e-11 9.20303839067806e-06 3.51940171043773e-10
"87" 1.2567301028401e-05 5.91292775434424e-11 3.38936352700211e-10
"88" 4.03899342749268e-11 9.20303839067806e-06 3.51940171043773e-10
"89" 4.03806809446416e-11 1.84059938141774e-05 5.02000001288939e-10
"90" 4.03714317550292e-11 9.20294707201677e-06 8.7532963531964e-10
"91" 5.13475490851691e-05 0.000292915924641532 5.01550107802195e-10
"92" 4.03761808430916e-11 1.84059872710606e-05 5.39528296063842e-10
"93" 6.00154063936948e-11 1.84059919461894e-05 3.47932515251311e-10
"94" 4.0373913240317e-11 9.20304063313836e-06 3.39225836617553e-10
"95" 1.16742728457899e-10 9.20292794781952e-06 3.44014984290467e-10
"96" 4.03684244616769e-11 9.20304071346347e-06 3.3881165276917e-10
"97" 3.12768228779849e-05 0.000245785803065731 6.93579887705164e-05
"98" 4.03809309867394e-11 9.20303176597577e-06 3.8997373824818e-10
"99" 6.25833468879322e-06 2.76460944233583e-05 4.33536238632754e-10
"100" 4.03684244616769e-11 9.20304071346347e-06 3.3881165276917e-10
