"1" "2" "3" "4" "5" "6" "7" "8" "9"
"54" 0.00107706078399901 0.00107022378356423 0.00106126182150381 0.00115281057543558 0.00121944557238634 0.0010924579982992 0.990972789224484 0.00118420382409802 0.00116974641622943
"94" 0.00378204507863551 0.00374224842577154 0.00371121817159504 0.00393799474812435 0.00439279905122192 0.00387062054518615 0.969122284795691 0.00372235532672482 0.00371843385704925
"202" 0.00446387456702139 0.0561097641708098 0.00291262438651888 0.0263730956827995 0.00322602696907439 0.00234918471845953 0.00259371541741752 0.179566877110488 0.722404836977411
"217" 0.28319548650055 0.00173974455441644 0.707148077443966 0.00073500845480609 0.00064540318621471 0.000627733510471448 0.000685731040819368 0.00339359745589476 0.00182921785286094
"237" 0.0204607472310105 0.068430457281522 0.000761374763424655 0.00162011374615141 0.000953226012535613 0.000666288574478191 0.000524660397400738 0.00115310632970944 0.905430025663768
"248" 0.00254200143190206 0.0073759707792934 0.415817649914129 0.00305531022883197 0.00380172361366164 0.0026855901253675 0.00319922251035428 0.558746557835539 0.00277597356092103
"251" 0.320803698737592 0.534394807322269 0.122728254550391 0.00193885030164238 0.00260170153971214 0.0017135577489206 0.012220101477876 0.00203178193195373 0.00156724638964279
"253" 0.0192530778879466 0.260324402047777 0.643694649939626 0.00545332338943078 0.0190366545306119 0.00461186839671454 0.0039002680163479 0.0392786942490046 0.00444706154254032
"257" 0.028894780806516 0.00673378413393967 0.00238976753389212 0.00116786186035056 0.000924279327761448 0.00157738635598262 0.016346876268031 0.139534427383836 0.80243083632969
"261" 0.935388383418493 0.0131551117091507 0.0415444419975911 0.00137101008855274 0.00106202243001555 0.000956351785330755 0.000985579445247875 0.00097421756879344 0.00456288155682535
"263" 0.00654268963300604 0.00719250550223021 0.0087689951943152 0.799361656962643 0.00997092862795165 0.148126953653791 0.00676177151010077 0.00670214923543161 0.00657234968053096
"268" 0.0093992592447766 0.00357444003875772 0.00100868678163494 0.000986746845030445 0.000755189535163458 0.000623426467795983 0.000743203891605952 0.13157294627435 0.851336100920885
"269" 0.0498783710564461 0.00541988495848679 0.00256974688188388 0.0286712377590917 0.00268029913722738 0.00442349672688798 0.0018212649332152 0.898599307596834 0.00593639094992722
"277" 0.786864830219587 0.00192644192497242 0.201912623192588 0.00149288001817354 0.00150731488181004 0.00158819027887289 0.00156940001057298 0.00161079502239299 0.00152752445102927
"291" 0.00626127984919987 0.132086241787339 0.0095295988315069 0.00817116723094213 0.00713777107079017 0.00620342861464562 0.288219393601657 0.535268742393074 0.00712237662084587
"307" 0.808201541382206 0.0122706897478363 0.177557973234778 0.000438799481516288 0.00014630514465765 0.000822736414644371 0.000224673921885833 0.000185562600482438 0.000151718071992897
"316" 0.387377511103454 9.24996965292752e-05 0.611280348421007 8.27450054154207e-05 0.000112946029294487 0.00050373483777048 0.000407154425641845 6.61551931521853e-05 7.69052877360774e-05
"319" 0.741139279023971 6.07886417148971e-05 0.2575417031025 2.51977642237835e-05 2.31548985089698e-05 2.18702884254257e-05 0.000255394981346702 0.000902307094132887 3.03042051761959e-05
"321" 0.00133016466713435 0.00131876955881296 0.00140819006013896 0.00941284393981594 0.00560427007541463 0.0172762608787617 0.00340952403439878 0.00249919785111712 0.957740778934406
"327" 0.836353137076847 8.88424509117505e-05 0.161813205553006 5.3596758832415e-05 5.61268808933587e-05 5.36739082386144e-05 0.000593688711003851 0.000909573810483844 7.81548497827136e-05
"328" 0.00084356016784105 0.00114932844213452 0.00454084166880525 0.987382008588569 0.000758037655584838 0.00241033688580344 0.00107612902069482 0.000666543211246785 0.00117321435932024
"337" 0.476862538593104 0.000756150939900976 0.512362630045318 0.0061228483620078 0.000502227400695164 0.000475531087909202 0.00151163587582939 0.00063462711137997 0.00077181058385616
"341" 0.000809617515755247 0.0304646368150611 0.0848703588018646 0.000414071604237499 0.000457671375556547 0.000489057434111053 0.0391999237647371 0.842931740268517 0.000362922420160089
"344" 0.000945998600139057 0.00384429688292199 0.212371419221844 0.0012162056493215 0.00173749996984214 0.00105643391751465 0.00177709089914644 0.77599454622268 0.00105650863658969
"348" 0.0908893798980811 0.552016280622263 0.302472843864543 0.0102766501823573 0.00768615220053252 0.0115900069330779 0.00911648754045041 0.00818634715893641 0.00776585159975793
