"1" "2" "3" "4" "5" "6"
"100361" 1.04892973298232e-09 0.00385846326523858 7.53070766373773e-05 7.21914359381221e-10 4.69771027757904e-05 5.33949376217698e-06
"100887" 0.000285648114062745 0.00669651897562681 2.18063051593057e-06 6.15402686500686e-06 1.48561194804527e-05 1.13069301508087e-09
"102029" 0.000382174991055091 0.00748135991175013 2.08062148635101e-09 0.00107259699424614 2.91905962412158e-06 6.13866946564478e-05
"102173" 0.00397416044228183 0.000186326292028159 3.37331892176371e-10 3.71753963405414e-05 6.6746414509639e-10 1.63348040415687e-09
"102282" 2.09303019345595e-10 4.98869844996424e-10 9.85975602230833e-05 0.0043293931067456 3.37114907538117e-06 8.21649595628962e-10
"102350" 0.00100583237018643 5.61353069657121e-07 3.28150448443692e-10 6.30918736151153e-05 1.38262188054311e-09 2.05498350496724e-06
"102370" 0.000335716518904604 0.00268836272683863 1.40681975954954e-09 0.00132739197300403 5.69847355232317e-10 1.93549094158332e-09
"102371" 0.00341523338021128 0.00106150099232018 3.07838437114189e-08 6.63998864627148e-06 5.53200255663806e-10 9.44941239732855e-10
"102397" 2.17249251006614e-05 7.86355169828659e-10 0.000570866945723633 0.00569471770645947 0.00527265087646353 1.66275565865072e-09
"102445" 0.000493064075399309 0.00716107289940147 3.33629475063664e-10 6.83560164984943e-10 5.5001847901706e-10 1.00492357754348e-09
"102466" 0.00187342203627598 8.70342989188561e-10 0.000351661279166371 0.00276548874212522 0.000190226655147162 1.71669350128527e-09
"102503" 0.00376974903571818 0.00105451525603649 5.90762913216699e-10 0.000460844199519046 5.7463640274912e-10 3.87096550074441e-06
"200069" 3.37038644692523e-08 0.0141765102840123 0.00121171749175531 0.000177119630436931 6.14252693601267e-10 1.12068072985445e-09
"200108" 0.00031967081068736 0.00131101406462597 5.46104865960298e-10 0.00434632485078451 2.1082470854318e-09 0.0250880914811739
"200174" 0.0018844477556471 0.00555088492928266 6.69376047532408e-05 1.28309665010551e-09 1.66164046612952e-05 4.47709849302637e-06
"200195" 5.19772945423266e-05 0.00485872053932037 0.000118911220035064 5.44236703528203e-10 5.57409378974723e-10 1.47911296319268e-05
"200246" 2.43587829524274e-10 1.13023022754331e-05 5.61687213940799e-05 2.64244891773974e-05 0.00880595625911258 0.000336626908923295
"200291" 2.10790053650411e-10 5.38984725350498e-10 0.00214713924795037 0.000285507503843983 0.00087756872142108 4.11213510478929e-05
"200293" 0.00010930000780929 4.9408143236198e-10 0.000228287105659992 0.00264169496631696 0.00344385495578271 0.000466244504364776
"200305" 0.00199912567557421 4.51108371983072e-10 0.000471994998512817 3.72782019332941e-05 7.30493778867071e-06 1.10957766504468e-09
"200311" 0.00184803029195528 0.000588076392375902 0.000229655223229406 0.000242030188604391 0.00028047495463272 2.88386132099497e-05
"200314" 2.05739781142446e-10 4.82841634297717e-10 0.00904322070819075 8.09682229111236e-10 2.49698230904307e-06 0.00018188571054978
"200325" 2.05601832570322e-10 4.34086291023854e-10 0.0072508393911138 5.16096037185244e-10 0.000181207590182362 8.45453183077665e-10
"200329" 0.000182104212995567 4.74863216950884e-10 9.42482800838332e-05 0.00790181910087774 0.00100815269097038 0.00273264799311312
"200366" 2.51229313165464e-10 0.00173859831458777 1.08771090550637e-06 0.00350626934639677 0.000141423716179456 0.000925823943630968
"200369" 2.05408418603674e-10 4.3504722008511e-10 0.00597428811173019 5.18708781585498e-10 0.0020098131175608 8.08408457412239e-10
"200390" 0.000250892731298191 5.92537225053296e-10 0.00092961128238026 6.79968877084076e-05 0.0016786475177505 0.000422660605413581
"200392" 0.00196227460114394 4.94225878570298e-10 0.000353701457023156 1.77108818241489e-09 0.0116827128421931 8.9035499884389e-06
"400562" 0.000595064597024866 0.00425458854675093 0.000127315314824084 6.0389529379826e-10 0.00107817977638849 1.06908216597311e-09
"400628" 0.000204927608797432 0.00253905112431881 0.00145258460904909 0.0014956663608434 4.24240339889038e-05 1.6553882826383e-09
"401005" 0.00333522860515272 0.000127260836955079 0.00163013308633209 9.51796885576212e-06 5.41664984904761e-10 8.82250351906177e-10
"401009" 0.000310714074625011 0.00591139101656401 4.47241711333307e-05 1.09074772146399e-09 3.69983791016407e-09 9.36159945167858e-10
"401010" 0.00102305286629046 3.70239796554626e-05 0.000877843400433866 0.00367668837298835 8.50748270176779e-06 9.65197395173139e-10
"401013" 2.663779553686e-10 4.34901403703982e-06 0.000266648032258309 8.578032437503e-10 0.00844768004431006 0.000103683667666122
"401063" 1.94167276552686e-06 1.12546960980331e-05 0.00288846312825711 0.000158637555689393 1.23279497581167e-05 1.4862612160458e-09
"401113" 0.0001780782265279 0.00124200411237518 0.0023326381374721 0.000287834618790282 1.63407078982043e-05 5.46480573294807e-06
"401122" 0.00118506458819783 0.0022595317570463 0.000149983835683513 1.02736896507186e-09 1.41170029023775e-09 1.17123651759373e-09
"401126" 0.00406850362630197 1.01086119125873e-09 3.11119893697764e-05 2.55775861133005e-05 7.85891071974835e-05 1.37867673392258e-09
"401233" 0.0031919295602852 0.000700309446480095 1.74516987842018e-05 9.73005264237332e-10 2.87719535097557e-06 9.52935463334823e-10
"401513" 0.000152067724895565 0.000143884822037945 0.00138039122223332 0.00260504337356359 3.57252192681778e-09 6.2353436604195e-08
"401577" 2.05370555265084e-10 4.33359458116803e-10 0.00303976114414162 8.45448529773759e-10 6.48294916791625e-10 7.90056417199698e-10
"401592" 0.00519764919020098 2.68389796161945e-08 4.83541283704823e-10 5.66371156196871e-10 7.22244052567965e-06 8.94990276511147e-10
"401601" 0.00610468228263331 1.36372941430898e-09 3.2224814856559e-10 3.32810623205593e-06 6.0617119328085e-10 8.47785245494891e-10
"401603" 0.00288137600488063 8.79634974830264e-10 3.04700260355502e-06 7.44853733289061e-10 9.43893331625992e-05 8.94787442857585e-10
"401658" 0.000448754591584751 0.000735926746870656 0.00317455638994938 5.38775434417491e-05 3.57675037780706e-05 8.89885237014561e-10
