"1" "2" "3" "4"
"PM1:20080107" 0.00104974736239159 0.402498015478665 0.583407122983614 0.0130451141753289
"PM1:20080108" 0.00268955470745913 0.692103403438133 0.304795072272209 0.000411969582199339
"PM1:20080114" 0.00060420351669931 0.998276480252624 0.000735765596489283 0.000383550634187223
"PM1:20071211" 0.000559595522321987 0.00065154836317293 0.00108960841997541 0.99769924769453
"PM1:20080121" 0.000856725470008249 0.994241474080477 0.00444982997122674 0.000451970478288309
"PM1:20071217" 0.000202637234819624 0.000514717266028208 0.944865960741039 0.0544166847581137
"PM1:20080128" 0.000343534075940967 0.999086674509762 0.000364546099760062 0.000205245314536497
"PM1:20080204" 0.000329641427561289 0.601924664463009 0.397518820651629 0.000226873457801214
"PM1:20080211" 0.00482608993284638 0.986599943024666 0.00784811001982359 0.000725857022663831
"PM1:20080218" 0.00147511292969444 0.9926130511327 0.00465807128617179 0.00125376465143395
"PM1:20080225" 0.000429032283807261 0.99600885785778 0.00101313487440297 0.00254897498400963
"PM1:20080303" 0.00171249720746738 0.959507954536729 0.0381582751157713 0.000621273140032251
"PM10:20080107" 0.0014417196610201 0.579554803090328 0.41261538548963 0.00638809175902194
"PM10:20080108" 0.446099688832331 0.292091143146813 0.247402377177687 0.0144067908431685
"PM10:20080114" 0.995733603991129 0.00174277185140782 0.00018870348810736 0.00233492066935604
"PM10:20071211" 0.00731694554964023 0.000950392686127483 0.0169107587219853 0.974821903042247
"PM10:20080121" 0.989723489367631 0.00856184745908978 0.00142710996242512 0.000287553210854099
"PM10:20071217" 0.859333148966481 0.000194370118597026 0.140020833366022 0.000451647548900014
"PM10:20080128" 0.999101289860402 0.000389651586572512 0.000258652016499329 0.000250406536526186
"PM10:20080204" 0.963751965512771 0.0351783199475554 0.000584905246184616 0.00048480929348895
"PM10:20080211" 0.998640620728057 0.000440817103515973 0.000564654357926344 0.000353907810500778
"PM10:20080218" 0.997329762266796 0.000885806470147581 0.000879525802897649 0.000904905460158159
"PM10:20080225" 0.996832806493077 0.00107514171002065 0.0017971053496101 0.000294946447292121
"PM10:20080303" 0.998334383192021 0.000933516467015148 0.000376240768154107 0.000355859572809391
"PM11:20080107" 0.000875645917273981 0.871813685574926 0.126596091172022 0.000714577335778133
"PM11:20080108" 0.000774441390795871 0.791828504260914 0.207056730242444 0.000340324105846543
"PM11:20080114" 0.00599256733580069 0.759562983331595 0.23406187427823 0.00038257505437386
"PM11:20071211" 0.000609612613919216 0.000511980240030532 0.16171370211839 0.837164705027661
"PM11:20080121" 0.00305294913658012 0.915083727533369 0.08141497839683 0.000448344933220589
"PM11:20071217" 0.000651057270394314 0.00755756537143112 0.990801529229188 0.000989848128986425
"PM11:20080128" 0.0085410859420416 0.982073840716951 0.00920934882493561 0.000175724516072074
"PM11:20080204" 0.00821737773807905 0.909374735796639 0.0819168905963546 0.000490995868927272
"PM11:20080211" 0.00041459140873634 0.985989935035569 0.0132873437786219 0.000308129777072219
"PM11:20080218" 0.00046959570665509 0.991830003967134 0.00677486043067613 0.000925539895534937
"PM11:20080225" 0.000397524694992619 0.996527710534216 0.000942717847749017 0.00213204692304226
"PM11:20080303" 0.000442083995630977 0.971904339413292 0.0273082590799888 0.000345317511088019
"PM12:20080107" 0.00807905683867215 0.470216180613462 0.52071772374229 0.000987038805576265
"PM12:20080108" 0.40289307862635 0.595857867390686 0.000919938257720204 0.00032911572524426
"PM12:20080114" 0.9967395694265 0.00140593945459639 0.00142704590144103 0.000427445217462822
"PM12:20080121" 0.987708803943243 0.011528945254313 0.000388504469158479 0.000373746333285841
"PM12:20071217" 0.00649822913869118 0.253606868463074 0.383872693594988 0.356022208803247
"PM12:20080128" 0.95655085775272 0.0421283728568828 0.000943038975620232 0.000377730414776869
"PM12:20080204" 0.7460605654706 0.0771691713692923 0.176518834108316 0.000251429051791579
"PM12:20080211" 0.968856601575697 0.0223106715749546 0.00827221445070264 0.000560512398645876
"PM12:20080218" 0.984620660270613 0.0142188712181724 0.00054846040556629 0.000612008105648456
"PM12:20080225" 0.98644789429147 0.0113091689402471 0.000607168972076638 0.00163576779620657
"PM12:20080303" 0.988350427249004 0.00927936017856817 0.000977056822555981 0.00139315574987149
"PM2:20080107" 0.0215040039576508 0.498091598516763 0.477574997016663 0.00282940050892368
"PM2:20080108" 0.0174809402525427 0.30960249934482 0.672310188574623 0.000606371828014306
"PM2:20080114" 0.000630158011999978 0.601900994704984 0.396992046271651 0.000476801011365007
"PM2:20071211" 0.000481937649368809 0.000508526032489872 0.000831571092290676 0.998177965225851
"PM2:20080121" 0.000864670155888679 0.856263868541839 0.142189737347561 0.000681723954710675
"PM2:20071217" 0.00505726860075221 0.000877353857473856 0.963250162866379 0.0308152146753944
"PM2:20080128" 0.000976320567916905 0.803592665531895 0.194896900153011 0.000534113747176352
"PM2:20080204" 0.000636982007862308 0.516805044757866 0.482051972696621 0.000506000537650731
"PM2:20080211" 0.00052969012589602 0.457488736608289 0.541590377454287 0.000391195811528526
"PM2:20080218" 0.000285783146446449 0.509389138042048 0.490036404222362 0.000288674589143267
"PM2:20080225" 0.000639867471546806 0.811788957385242 0.187047749761541 0.000523425381669794
"PM2:20080303" 0.000624208669755189 0.477481165878161 0.521453698450516 0.000440927001567588
"PM3:20080107" 0.0150246156723162 0.372088819420567 0.593366084266317 0.0195204806407991
"PM3:20080108" 0.00210089635460435 0.658329240201381 0.338995962709824 0.000573900734190623
"PM3:20080114" 0.00308205329735672 0.733695280507753 0.26264816646045 0.000574499734440682
