"1" "2" "3"
"1050608" 2.40606495873146e-11 0.000100202736927785 1.7822993860804e-10
"337732" 2.02631002575779e-05 9.74336643002132e-11 1.57413003035275e-10
"4467992" 0.00418276046827772 0.000928499096881868 4.91169632355177e-10
"4467993" 0.00247504005675873 0.000461334979946658 3.4969411820665e-10
"4454356" 2.70174543007017e-05 1.00655239244448e-10 1.89275011749645e-10
"1920110" 0.0016906151369312 2.19635175235257e-10 7.2122976409193e-09
"318732" 1.88050630151886e-06 9.76837376047918e-11 4.63797310909234e-05
"4424923" 4.31767489390157e-06 1.1115312517765e-05 3.73418563470835e-05
"687185" 9.2913217502689e-10 7.72954317143738e-05 1.83181492669064e-10
"4343580" 2.29017506024224e-11 1.01858068546142e-10 0.000217917375108908
"460604" 9.32134197928603e-11 0.000502444133744373 8.5761670158773e-10
"348376" 4.39033573275492e-05 9.73171288899007e-11 1.665523527574e-10
"1143045" 0.000755193264844777 1.53834387540372e-10 1.77844668381683e-05
"4430922" 2.3246108309121e-06 9.70189563361421e-11 8.19841938783994e-05
"505587" 2.3317445839684e-11 0.000353572334310052 1.72418927206528e-10
"11544" 2.84452429634705e-11 0.000167481636219601 1.98768996549837e-10
"4373910" 0.00146495536759116 4.18905059949621e-05 6.64935080751083e-06
"2949328" 2.27044497181778e-11 9.61531345913408e-11 9.53389417621057e-05
"189110" 2.64708610418504e-11 1.24078790464041e-10 0.000567492877601272
"4359472" 2.82189620262317e-11 7.28126141258708e-08 7.25238816001052e-05
"182456" 2.27253925778826e-11 9.62326618083806e-11 0.000138468393915104
"336468" 4.71827261538796e-07 5.6107914133527e-06 0.000151369592965963
"297562" 2.85156159217783e-05 9.68703454255544e-11 2.17098993639328e-05
"963239" 2.32117363769144e-11 0.000366455532650169 1.75001084488938e-10
"4431292" 4.56866142493147e-11 1.37649850125062e-10 0.00235623001675698
"191687" 4.40055404637807e-11 8.6454213685289e-05 0.00226453351161848
"308907" 5.56473606509838e-11 2.42700595744291e-10 0.000921607997464005
"2851803" 3.71951508576033e-11 5.88308341913265e-10 0.000669640772458204
"531495" 2.27027936161893e-11 9.62070048510831e-11 7.94491434278568e-05
"1109552" 2.65252527103218e-11 2.06852668906257e-05 0.000219165085676803
"868003" 7.9250450596904e-05 4.77471797755322e-06 1.56468661157136e-10
"4352768" 1.14270484997615e-05 3.04391776553575e-10 4.12315763495185e-05
"4365172" 3.06740862654389e-11 7.72992536446502e-05 1.61479656004799e-10
"586517" 9.26011922679259e-11 9.79500426139554e-11 0.00012938803680162
"4319192" 0.000423612954573697 5.24786277468218e-05 2.04786441511314e-10
"1028632" 2.50337896030056e-11 4.45499136783792e-05 2.01533948708779e-05
"432284" 1.9144140086298e-05 0.000122123157405051 2.79919923789262e-10
"42839" 2.2696051867892e-11 9.63602384134026e-11 5.447946025025e-05
"386088" 3.84875037549202e-11 0.00800898565972722 1.11268999316279e-07
"4305923" 4.17087832200344e-11 2.2353825602021e-07 0.000415050423499124
"190335" 2.28548587160307e-11 9.79824996289587e-11 0.000292826430509624
"190332" 2.60598702016372e-11 1.15420752454944e-10 0.0004517243639137
"575041" 2.29979171488375e-11 9.64510413074202e-11 0.000356385625016411
"1086889" 3.66571442836759e-06 9.3253990646208e-05 1.55767066283511e-10
"928424" 0.001143439276074 3.12963223431695e-07 1.81441741329422e-10
"1072424" 2.34172359557949e-11 0.00311057703114966 1.72577802669199e-10
"1076963" 3.03997371899805e-11 0.000543957367848882 1.66109006363834e-10
"919484" 2.33100461322595e-11 0.000113085947431603 1.65857966611847e-10
"364179" 3.25344647696892e-11 1.74909950998937e-10 0.000356385436499035
"1053321" 4.14470923849306e-05 0.000712017985315596 8.78190768232093e-06
"711590" 1.13431486639417e-05 7.78896570998786e-05 1.7910397466385e-10
"4370328" 4.89954184128968e-11 4.65156945869783e-10 0.000120307862873582
"4480529" 2.30467979445308e-11 2.33200657096869e-10 6.35591256157922e-05
"188966" 2.29845029914252e-11 8.14218527136664e-05 7.0825625380959e-06
"347575" 5.26456803856466e-11 0.00027591887833383 0.001505552639294
"981912" 4.93068429379558e-05 9.85671882270112e-11 1.78176927867246e-10
"3439402" 2.3269264732305e-11 1.17042798876335e-10 0.000665101671017958
"4442504" 2.3861271592122e-11 0.000151735528825306 1.89376477137805e-10
"258946" 2.31608681084652e-11 1.42219271622395e-10 6.58292403042569e-05
"4422405" 2.53129791723845e-11 5.29643435713917e-05 1.62065899393184e-10
"324882" 1.04692781770615e-05 9.67493479782897e-11 1.63488636744957e-10
"272758" 2.41560854526231e-11 5.018351107964e-10 0.000222456674767864
"324888" 2.46275107372695e-11 0.000410830998321268 1.64444008138565e-10
"186610" 2.26959749205965e-11 9.63010604202831e-11 0.000113498711024442
"158804" 3.12875126583576e-11 8.01621630555294e-05 1.95122914909672e-10
"495095" 2.30464634152197e-11 0.000206131279016309 1.64909659343102e-10
"548686" 5.68810205908612e-10 9.75276636252089e-11 0.00119627129122978
"4413214" 4.24532715914523e-11 0.00013742036012913 8.61356781159989e-10
"1090059" 0.000684319432843437 3.39195980230369e-05 1.73422954921812e-10
"179853" 8.15230956317396e-05 1.25526834489658e-10 5.81251251437822e-05
"4318102" 0.000119927114668035 9.86263513339141e-06 1.63382498906362e-10
"183089" 5.24550111840632e-10 3.23358775398875e-05 0.000631981119386906
"318949" 3.21971148704182e-11 3.00471514624402e-10 0.00134609267413245
"271811" 1.14822850569174e-05 6.78127073119101e-10 2.29967258605898e-10
"4345640" 0.000229309393226245 1.47852246902885e-10 7.70570528362294e-09
"182911" 3.97436371507585e-11 2.77417671683275e-05 0.0012567017233019
"517754" 0.000317115815630201 5.96699827126421e-09 1.69442565279522e-10
"3462224" 2.06008187443365e-05 9.71029115317425e-11 1.54512328279472e-10
"1044611" 0.00043666936305396 1.04301935599055e-10 1.67085637161599e-10
"174683" 1.65364400099454e-09 7.27968709337332e-10 0.000653739887769606
"31235" 0.00255938941764842 4.65494145233966e-05 1.9840456908465e-10
"296082" 2.29901087931013e-11 7.82368682687277e-06 0.000101092324677913
"4372091" 0.000107732039390942 1.40809972965206e-10 2.02589753519355e-10
"91688" 2.71147289041496e-11 0.000114517395856677 1.69127186306906e-10
"950909" 2.34257602375842e-11 0.000313491269858835 1.70543875620398e-10
"930301" 1.73817453711743e-06 4.98913395440551e-05 1.72150619932977e-10
"12836" 2.32486220302668e-11 0.000140283815557704 1.62350893181567e-10
"109193" 2.32185974163927e-11 0.00122962990299646 1.7102168138642e-10
"173306" 2.27012508167103e-11 9.62771982623412e-11 7.49092009669293e-05
"4405869" 4.72805384055666e-05 9.66235960383274e-11 1.58872006562596e-10
"92262" 0.00035798098906212 4.59188482819314e-10 1.77731344710473e-10
"92263" 1.51973312096347e-05 9.65581389360164e-11 1.54703482732905e-10
"334340" 2.14932700122269e-10 1.07910340450193e-10 0.000447183163954857
"667010" 2.27008091539613e-11 9.61530668391027e-11 4.99395181868125e-05
"825808" 6.31134126166416e-11 4.6694164388649e-05 0.000364058449444549
"336614" 2.32003497695407e-11 8.69070742318443e-06 0.000369844001843922
"4307782" 0.000172911625030536 9.70365536106364e-11 1.64157925847022e-10
"4353757" 0.000866639866639206 1.83736607220363e-05 4.61622528190776e-10
"311174" 6.35581309834967e-06 9.69694406725806e-11 2.08389026465238e-05
"609982" 1.88736851056603e-05 1.16151889925129e-05 1.77192416338041e-10
"995893" 1.6210484853539e-05 9.67691278418437e-11 1.56302130126696e-10
"4483174" 0.00263923662683255 2.44846671696856e-06 8.55079592105833e-07
"4327501" 2.38409405529106e-11 0.000148872592363579 1.94643044959176e-10
"4365611" 7.53111153825153e-05 1.47833599889117e-10 1.79351210978942e-10
"4365614" 3.03945543664235e-05 4.56307950907629e-10 1.61036979484399e-10
"4379957" 2.32847014972172e-11 1.26195232881821e-10 8.62590055022295e-05
"16063" 2.32232657567798e-11 1.98556208640862e-10 9.98787182475512e-05
"4440670" 0.000286722547875269 2.42847769845925e-10 1.71299879291388e-10
"923151" 4.1067652896695e-07 5.55181294997796e-05 1.76640298316515e-10
"4440672" 6.0355718660458e-05 1.01440093768326e-10 2.78838652125637e-05
"172163" 5.92126065406975e-11 4.40645083695024e-06 0.000126940758700427
"3166216" 0.000182703453129408 8.52607855045065e-09 1.95225116633577e-10
"315462" 1.06172062967216e-05 2.29279839955411e-10 0.000897914241836599
"3241355" 2.33569957157718e-11 0.000125969152564439 1.5664236473615e-10
"304480" 7.7675343040836e-06 1.01378865920149e-10 1.56520912089448e-10
"181155" 2.28834947266398e-11 1.08167094047489e-10 9.07989791473385e-05
"744371" 4.82817707656076e-05 0.000648504968464365 2.14893923052451e-10
"4302571" 0.000325222419680517 1.52088791882472e-10 1.64611161315429e-10
"235591" 2.76086992780742e-11 0.00239484370293717 1.7853744985272e-10
"2680713" 2.2296341483294e-05 0.000147411720561637 2.36680391613817e-10
"520413" 3.68802516481444e-11 4.35544896502241e-10 0.00173652747141885
"4427066" 4.25524842789229e-05 9.76495005875315e-11 1.73687322931239e-10
"4419788" 0.000383647613879506 2.14690091968525e-10 1.71890387236135e-10
"205250" 4.00561774306782e-05 9.86778096003666e-11 0.000130277656031996
"810959" 2.31941731592682e-11 5.86902170068679e-05 1.65235680091089e-10
"210095" 2.27004448547509e-11 9.61792637031405e-11 0.000104418826467564
"4462432" 2.82030574156681e-11 0.00208564691766599 1.69439307753567e-10
"252843" 0.00072199842993722 3.88300850006825e-05 6.19253688818876e-10
"4467447" 3.01785969657166e-11 1.58529058138911e-10 0.00229721083720474
"251387" 2.28897166636626e-11 8.01622193130366e-05 1.62357449664891e-10
"2061739" 2.33451489319741e-11 9.61933442572991e-11 0.000136198418631767
"471159" 2.48805115336267e-11 0.00146295894108362 1.91397052408112e-10
"4449055" 1.92806182466017e-06 0.000105634531589232 0.000452851294528867
"4449054" 1.07207544665488e-05 8.3324186663153e-05 0.00272634103829309
"4395346" 0.000216477223931649 1.82028811598166e-10 1.64847633775703e-10
"139056" 4.52542291109743e-05 9.70337032175134e-11 1.67843814239092e-10
"1076557" 7.05830777223631e-05 1.00666116307849e-10 1.59910454209642e-10
"4459021" 0.000575133692295001 9.87397180170152e-11 4.5417875466386e-10
"4338624" 2.26984884774365e-11 9.61863921963193e-11 0.000163438077149241
"95168" 6.68681801180762e-05 9.78852911531976e-11 1.63348064439544e-10
"4456091" 0.000141531561919746 7.55928677045264e-06 9.22454874149957e-05
"363264" 5.6347332553235e-11 0.000111145935819316 0.000888365108577607
"331476" 3.80190009831925e-11 1.99792077881873e-08 0.000932926674369617
"347382" 2.29878505999187e-11 1.96174493730799e-10 6.12892135468466e-05
"893335" 3.61358416514201e-05 1.02582815103443e-10 1.72997043944338e-10
"137183" 5.87502615721633e-06 0.00237703664465198 9.90639976831976e-08
"4441343" 1.33222937031434e-06 0.000383712253106031 1.69281158627566e-10
"4416988" 1.01679796135445e-05 7.95871342330422e-05 9.74721789234087e-06
"353195" 0.000774049621126358 1.11216999959105e-10 1.63679402035571e-10
"808758" 9.19604560997064e-06 0.000693932299042358 1.94550392758206e-10
"243956" 7.19339502464875e-05 9.8174857065921e-11 1.5972441377745e-10
"3123133" 2.31288173963589e-11 5.40162837831098e-06 0.000188922075502755
"502919" 0.000600124772557199 4.0263193389052e-10 3.08679068768453e-10
"4417053" 0.00208296198563175 1.95710212477909e-10 2.82462554325686e-06
