"1" "2" "3" "4" "5" "6" "7"
"SRS015127.SRX020547" 0.461042596219425 0.200873393703163 0.227538832394325 0.00338399301468388 0.000158581988946063 0.000148617506908645 0.106853985172548
"SRS015127.SRX020557" 0.44660220973053 0.232800134399995 0.240673838053982 0.000114372209127482 0.000126976391204568 0.000256753248644709 0.0794257159665161
"SRS043704.SRX020690" 0.000251718268182195 0.0195645993773232 0.0657021759769766 0.806363277677429 0.0387524840441995 0.000207482668376401 0.0691582619875134
"SRS049355.SRX020682" 0.000442754608063585 0.0439913938629396 0.000346759780791445 0.746361148068822 0.0459448757202347 0.00515577145053546 0.157757296508614
"SRS042320.SRX020665" 0.00228824197132408 0.0171859810152973 0.000730398502846583 0.000249351821096458 0.000196554631245809 0.979092978513729 0.000256493544460981
"SRS019556.SRX020561" 0.0889775633748048 0.129082622618241 0.128353282025318 0.422637233280231 0.000162548295022398 0.0187137723627587 0.212072978043624
"SRS015198.SRX020561" 0.000314178721436963 0.0985401846365081 0.00027532929177694 0.0747877958149146 0.000232913299552669 0.0575359496055171 0.768313648630294
"SRS019679.SRX020561" 0.00029163664166327 0.0914910872596893 0.000309028472372243 0.305435041778689 0.0273138193598391 0.000261980307404746 0.574897406180343
"SRS015139.SRX020561" 0.000375652337897685 0.000396879957320812 0.000367338364341255 0.0338338400049616 0.00055977046504627 0.000353680228700033 0.964112838641733
"SRS015805.SRX020562" 0.000408376299523833 0.0204500830061683 0.017624363577831 0.662312694152561 0.0109339193064931 0.0129058146516151 0.275364749005808
"SRS019552.SRX020547" 0.000976208241068522 0.00657208053996262 0.0571383626227412 0.763140772913476 0.000306710052426151 0.000347350759705809 0.171518514870619
"SRS019552.SRX020529" 0.00456866324020784 0.0968666765566211 0.0623578016663526 0.793844776253313 0.000268243065440622 0.00734790492994977 0.0347459342881155
"SRS015192.SRX020529" 0.000757288609481693 0.171632642278102 0.0394937873207948 0.664663421727299 0.000189699625623279 0.00024310103813074 0.123020059400569
"SRS049891.SRX020533" 0.000361931854755969 0.258182447614332 0.0697776892826315 0.566160162534001 0.000167190426068754 0.000175182255110177 0.105175396033101
"SRS065615.SRX020579" 0.0218841722755824 0.132671729279578 0.0426437093893375 0.676122296413705 0.00444748567568401 0.00241560493513019 0.119815002030983
"SRS053714.SRX020518" 0.0165615767266982 0.0520735546488514 0.0304276013817357 0.0405796790986064 0.122918155393953 0.736146717309952 0.00129271544020323
"SRS050472.SRX020518" 0.0624850884829242 0.0286067046720409 0.00748310363170082 0.110178384694151 0.0133468435921604 0.739545144990631 0.0383547299363917
"SRS023019.SRX020682" 0.0328274379990393 0.214677403646532 0.108534322123423 0.460740574547105 0.0338695351814443 0.0303985854264541 0.118952141076002
"SRS024545.SRX020682" 0.00401234848472221 0.0188338209883227 0.000218738846173058 0.576304217082611 0.0218023915969239 0.00400078021347639 0.374827702787771
