"1" "2" "3" "4" "5"
"1050608" 2.23738338463315e-11 4.09131783214914e-11 8.88353727110286e-05 1.08179164338796e-10 0.000137381368857888
"337732" 2.8348723749381e-05 5.70292721897388e-06 7.43720440607328e-11 9.48709561350183e-11 2.76078533514461e-10
"4467992" 0.00250276148341468 0.00723205992150361 0.00112160795678355 2.93484506412721e-10 8.89342782563106e-05
"4467993" 0.00070715707755079 0.00569361301659997 0.000534287125221762 1.69025024090004e-10 9.26307038347658e-09
"4454356" 4.84111929998211e-11 7.58324795759086e-05 7.46805914143367e-11 1.22859313077886e-10 2.79220028892983e-10
"1920110" 0.00218987551208624 0.000792332930252495 2.15038548178907e-10 5.57499834831393e-10 2.90514075785776e-10
"318732" 3.4854765891737e-06 4.27374291706891e-11 7.27774928352629e-11 4.45729180675597e-05 2.81560090442181e-10
"4424923" 6.85206423871827e-06 6.19546532365834e-11 2.69769329690184e-06 3.99940507541802e-05 3.40476749869456e-05
"687185" 9.31316304311635e-11 1.13681921356682e-10 9.68610862106069e-05 1.08563110211765e-10 6.33899547949833e-10
"4343580" 2.14345603378174e-11 3.83783094125986e-11 7.74433965954567e-11 0.000220991182787044 2.71468319214738e-10
"460604" 3.08895364615106e-11 6.573433841794e-11 0.000169199510457954 1.49075875647376e-10 0.00172222621103629
"348376" 6.82674533477671e-05 1.34285605169002e-10 7.28607141969689e-11 9.85554146287406e-11 2.74925750881888e-10
"1143045" 0.00100537824466733 0.000306998999494475 1.30530137780394e-10 1.29230048699567e-05 2.94182583126512e-10
"4430922" 3.65716211115268e-06 4.724381086339e-11 7.23503169113017e-11 8.29541414415334e-05 2.88557108628787e-10
"505587" 2.16537541721417e-11 3.9930370769578e-11 0.000258731224136746 1.03671045825555e-10 0.000689490887381365
"11544" 2.46684609049326e-11 4.58785722671674e-11 0.000209866373266822 1.14062901668819e-10 1.2635629284591e-09
"4373910" 0.000763302581686859 0.00273995552726817 2.45014659867622e-05 2.40079060879706e-06 7.53276743210866e-05
"2949328" 2.11908159874889e-11 3.8226607220673e-11 7.22870383985385e-11 9.6683697984949e-05 2.70938668309995e-10
"189110" 2.69530762091599e-11 3.96691307784435e-11 9.75984840731996e-11 0.000575497680359535 2.81540164731654e-10
"4359472" 2.72151950849558e-11 4.60125455776875e-11 1.59308539079246e-06 7.16185199686778e-05 2.68657995804848e-09
"182456" 2.12170425387693e-11 3.82314487900099e-11 7.23136783557864e-11 0.000140421518987344 2.72283023526161e-10
"336468" 3.14653413609176e-10 1.66274001679944e-06 7.08718401721461e-06 0.000152608989804321 2.82325707454695e-10
"297562" 4.27229289944298e-05 3.09191140660399e-06 7.27139389568436e-11 2.15974501255314e-05 2.76005824678725e-10
"963239" 2.15916947182788e-11 3.95555099848088e-11 0.000283222384557806 1.04601244208507e-10 0.000658264992921901
"4431292" 5.0098487498688e-11 7.0156962794182e-11 1.08841289899171e-10 0.00238946606241543 3.6935454772528e-10
"191687" 5.80130207008601e-11 5.88798000211987e-11 9.10702637265433e-05 0.0022614496832968 0.000166671581508883
"308907" 9.51754441407609e-11 8.15966500470669e-11 8.53511949671217e-11 0.000921105208410403 3.93577013121169e-05
