"1" "2" "3"
"SRS015805.SRX020562" 0.0462084770213773 0.587762902655704 0.366028620322918
"SRS019552.SRX020547" 0.29841145428286 0.486655974299648 0.214932571417493
"SRS019552.SRX020529" 0.281144219386162 0.496615696160257 0.222240084453581
"SRS015192.SRX020529" 0.302241788552743 0.27418013080525 0.423578080642007
"SRS055187.SRX020687" 0.149874843420849 0.775822760679943 0.0743023958992081
"700014999.V35.241686" 0.526589999442667 0.0226208101906103 0.450789190366723
"SRS043187.SRX020686" 0.306522665846711 0.133236489382572 0.560240844770717
"SRS045482.SRX020686" 0.311414328180886 0.452915750009233 0.235669921809881
"SRS019498.SRX020529" 0.0156770120250166 0.132001496873412 0.852321491101571
"SRS017549.SRX019635" 0.0439326446973809 0.158238252965846 0.797829102336773
"SRS020263.SRX019636" 0.47654781838487 0.504467506849795 0.018984674765335
"SRS017549.SRX019636" 0.0281199922384074 0.234151283665578 0.737728724096015
"SRS020443.SRX019682" 0.753632220647556 0.115628655156005 0.130739124196439
"SRS058182.SRX019682" 0.441118282945461 0.557638073902466 0.00124364315207353
"SRS024482.SRX019684" 0.257564362601192 0.198080994639522 0.544354642759286
"SRS017731.SRX019687" 0.237018713017589 0.565475431432498 0.197505855549913
"SRS024124.SRX019686" 0.353096175076169 0.0862305558996506 0.56067326902418
"SRS016672.SRX019691" 0.000637258326707621 0.31920554191006 0.680157199763232
"SRS023942.SRX019690" 0.152120528478757 0.00148398061228818 0.846395490908955
"SRS018343.SRX019691" 0.875770723414745 0.0101059910847734 0.114123285500481
"SRS017035.SRX019691" 0.343836760638877 0.337669629879196 0.318493609481927
"SRS013727.SRX019690" 0.0487069007659886 0.0306797712378111 0.9206133279962
"SRS023944.SRX019690" 0.292248233442044 0.0233753601561608 0.684376406401796
"SRS024236.SRX019696" 0.939332575372402 0.00338836741458494 0.0572790572130134
"SRS022637.SRX019696" 0.00139081058484297 0.600522603849605 0.398086585565552
"SRS023942.SRX019698" 0.127759286680911 0.00156541383085971 0.87067529948823
"SRS016883.SRX019696" 0.959694330223694 0.0374937379388667 0.00281193183743888
"SRS023204.SRX019696" 0.48553863052472 0.511627340462805 0.00283402901247472
"SRS022639.SRX019696" 0.00132958368922001 0.995616203708984 0.00305421260179621
"SRS023942.SRX020204" 0.238388044339603 0.00127740400838588 0.760334551652011
"SRS022639.SRX019692" 0.00157961924436114 0.996794570981807 0.00162580977383237
"SRS024058.SRX020198" 0.468564353274037 0.169699806576981 0.361735840148982
"SRS019554.SRX020560" 0.300532552566873 0.526928312964556 0.172539134468571
"SRS014927.SRX020561" 0.014785219626378 0.0200475687068493 0.965167211666773
"SRS019554.SRX020561" 0.243204802678882 0.751611232090736 0.00518396523038235
"SRS019554.SRX020582" 0.254761314831599 0.713763440443914 0.0314752447244866
"SRS019677.SRX020561" 0.172423413006001 0.729686989544177 0.0978895974498228
"SRS019677.SRX020582" 0.151258362833399 0.846383020700822 0.00235861646577833
"SRS011551.SRX020668" 0.263564840816092 0.00103128150505851 0.73540387767885
"SRS019552.SRX020551" 0.380811410898957 0.511730490708794 0.10745809839225
"SRS019554.SRX020551" 0.311105112446905 0.582367107528775 0.106527780024321
"SRS019552.SRX020557" 0.379230412398637 0.466425289607869 0.154344297993494
"SRS057750.SRX020524" 0.48920098784038 0.508545184198798 0.00225382796082251
"SRS047456.SRX020549" 0.410457314145892 0.0343746455797712 0.555168040274337
"SRS054358.SRX020549" 0.122327115743796 0.156935310839053 0.720737573417151
"SRS053553.SRX020549" 0.269466897601842 0.600085209382592 0.130447893015567
"SRS018958.SRX020529" 0.635423971391604 0.0175933122579631 0.346982716350433
"SRS019308.SRX020529" 0.621764060708117 0.266199792862651 0.112036146429231
"SRS018860.SRX020529" 0.0170021095027065 0.939481075737621 0.0435168147596723
"SRS018698.SRX020529" 0.793438011966942 0.0578567830477702 0.148705204985288
"SRS014927.SRX020529" 0.0883818700618936 0.00159876941244768 0.910019360525659
"SRS053393.SRX020527" 0.99526069876066 0.00159627881488414 0.00314302242445539
"SRS014879.SRX020566" 0.18294471287418 0.108185191552348 0.708870095573472
"SRS044071.SRX020524" 0.77519107532609 0.223655827528116 0.00115309714579381
"SRS023017.SRX020679" 0.476907152625675 0.469907943764449 0.0531849036098756
"SRS057843.SRX020524" 0.644797066318715 0.353524008390572 0.00167892529071328
"SRS021569.SRX020679" 0.347052827587787 0.243937362499699 0.409009809912514
