"1" "2" "3" "4" "5" "6"
"1050608" 2.76387941063246e-10 6.79298658837193e-10 0.000289006366157177 5.68706055967941e-05 0.000466347413354769 1.10710466797449e-09
"337732" 2.15618765083184e-10 3.54804718088745e-10 4.86499654012463e-10 5.62738639841937e-10 8.39031425578241e-10 7.68738019986471e-10
"4467992" 4.5882663516703e-05 0.000383087288247378 0.00158056594254185 0.00763493634253826 0.000986682017766632 0.000149088157649743
"4467993" 4.08423256934564e-09 8.37895911560789e-09 0.000946231276403916 0.00464045672227046 6.89150088286037e-09 0.000866132900801181
"4454356" 2.15618765083184e-10 3.54804718088745e-10 4.86499654012463e-10 5.62738639841937e-10 8.39031425578241e-10 7.68738019986471e-10
"1920110" 1.48281161397287e-09 0.000186849628998159 1.20425354272625e-08 0.000156167256803302 1.19027447715715e-09 1.02203912138505e-09
"318732" 2.15618765083184e-10 3.54804718088745e-10 4.86499654012463e-10 5.62738639841937e-10 8.39031425578241e-10 7.68738019986471e-10
"4424923" 2.36945846291382e-10 4.81969287826825e-10 4.87505492750013e-10 1.08508497946031e-09 9.99583336361454e-05 9.41964683386411e-10
"687185" 4.0296755362861e-10 0.000173963738830901 0.000269535017420785 1.15452432363406e-05 0.000281072734147078 1.29172802557075e-09
"4343580" 2.17107628319893e-10 6.39445309080682e-10 4.87041374882959e-10 6.49757280656115e-10 8.40099495987513e-10 9.15843987543162e-05
"460604" 6.55817877540376e-10 1.24561101064738e-09 0.00115616640155167 4.45537428365183e-09 1.53840224954749e-05 0.000334121431496166
"348376" 2.15618765083184e-10 3.54804718088745e-10 4.86499654012463e-10 5.62738639841937e-10 8.39031425578241e-10 7.68738019986471e-10
"1143045" 4.13605652058731e-10 3.32969764053616e-09 5.18115664726682e-05 0.000118879930467613 8.32468716757174e-05 1.73368843775864e-09
"4430922" 2.15618765083184e-10 3.54804718088745e-10 4.86499654012463e-10 5.62738639841937e-10 8.39031425578241e-10 7.68738019986471e-10
"505587" 4.41100441380876e-10 0.000352076544581673 0.000459079893813073 1.34239515409051e-09 1.01831268163623e-09 8.37603223622776e-09
"11544" 3.47665862452553e-10 5.30786590377833e-10 2.36982958321867e-09 7.00527429878447e-05 0.00239451786367314 4.06208378387592e-09
"4373910" 2.56138399382831e-10 5.73309310350532e-10 1.25622910392893e-09 0.00167605928975359 1.16190857379816e-09 1.42263605263582e-09
"2949328" 2.15618765083184e-10 3.54804718088745e-10 4.86499654012463e-10 5.62738639841937e-10 8.39031425578241e-10 7.68738019986471e-10
"189110" 2.15618765083184e-10 3.54804718088745e-10 4.86499654012463e-10 5.62738639841937e-10 8.39031425578241e-10 7.68738019986471e-10
"4359472" 1.83616931076553e-09 3.67399194665768e-10 8.54690506281455e-10 1.48156618616005e-09 8.42444745012172e-10 0.000137369682800126
"182456" 2.15618765083184e-10 3.54804718088745e-10 4.86499654012463e-10 5.62738639841937e-10 8.39031425578241e-10 7.68738019986471e-10
"336468" 4.17270353806022e-10 4.2269838982523e-05 4.90329579907028e-10 7.10282002300136e-10 1.08107598666592e-09 7.70144462373531e-10
"297562" 2.15618765083184e-10 3.54804718088745e-10 4.86499654012463e-10 5.62738639841937e-10 8.39031425578241e-10 7.68738019986471e-10
"963239" 0.000130432640595772 2.81689418506512e-08 0.00183568142679635 1.24029962733322e-09 2.20638875091563e-09 3.2725605770496e-09
"4431292" 3.06883399874211e-10 7.45822346212766e-10 7.85547301284216e-10 3.55892724249017e-05 0.000135921022467717 0.000971654369360029
"191687" 1.36170204613075e-08 8.67078900412919e-10 0.000310921884344735 7.62534091928544e-10 1.29765444840651e-09 0.00250803976413058
"308907" 2.9082365639295e-10 4.95467630293848e-10 1.00075321870859e-09 2.80425537642629e-09 9.32933853355316e-10 0.000457918098902911
"2851803" 2.91095139578387e-10 5.25187752586971e-10 1.14442198134934e-09 8.37993696103884e-10 8.5086444992518e-10 0.000320544008637843
"531495" 2.15618765083184e-10 3.54804718088745e-10 4.86499654012463e-10 5.62738639841937e-10 8.39031425578241e-10 7.68738019986471e-10
