"1" "2" "3" "4" "5" "6" "7" "8"
"1050608" 2.19272382801916e-10 8.29017012789674e-10 0.000363887406005978 4.680388507962e-05 9.3215499215148e-10 0.000487077097094184 1.26165455065133e-09 1.37851139516829e-09
"337732" 1.72761760963419e-10 3.81295379557749e-10 4.20850087185092e-10 4.82958526194492e-10 5.73773253859157e-10 6.89574314099223e-10 6.75107810029587e-10 1.18572759636472e-09
"4467992" 6.37628854855009e-09 8.111099836025e-08 0.00174307141754748 0.00839886149380685 0.00126636719100198 0.00101750682142535 0.000430334792134269 0.000141224099747873
"4467993" 1.83212479297234e-09 0.000621100957373379 0.000991717274932681 0.00488023036859953 2.72485254802288e-09 2.76652961724007e-09 9.29254546844615e-09 0.00118606565848959
"4454356" 1.72761760963419e-10 3.81295379557749e-10 4.20850087185092e-10 4.82958526194492e-10 5.73773253859157e-10 6.89574314099223e-10 6.75107810029587e-10 1.18572759636472e-09
"1920110" 9.72814929294266e-10 9.85415760691173e-05 1.01843049840648e-08 0.000190522882383404 0.000240564793673887 9.02100894009078e-10 1.07614443378183e-09 1.28454964940075e-09
"318732" 1.72761760963419e-10 3.81295379557749e-10 4.20850087185092e-10 4.82958526194492e-10 5.73773253859157e-10 6.89574314099223e-10 6.75107810029587e-10 1.18572759636472e-09
"4424923" 1.87869657548535e-10 6.40059079532491e-10 4.21464650062938e-10 8.56800237741997e-10 5.91292750461464e-10 0.000109536881679679 8.93177935210429e-10 1.18861865329728e-09
"687185" 3.73008765369367e-10 0.000202157762188681 7.88445003311923e-05 3.36064805163906e-09 0.000404648113516477 0.000305953852404203 2.52609122902505e-09 1.19539683497144e-09
"4343580" 1.72859104695307e-10 6.66659812791959e-10 4.21064186529501e-10 4.85460161682869e-10 5.74128732153013e-10 6.9007972811027e-10 0.000107239687504833 1.19033058903097e-09
"460604" 5.47937998720381e-10 2.13126296125999e-09 0.00129253583053923 2.27728337533289e-09 1.21821273228614e-09 4.43300897594525e-09 0.000473485894139938 3.249690513487e-08
"348376" 1.72761760963419e-10 3.81295379557749e-10 4.20850087185092e-10 4.82958526194492e-10 5.73773253859157e-10 6.89574314099223e-10 6.75107810029587e-10 1.18572759636472e-09
"1143045" 2.68306486312618e-10 6.01178800537733e-05 6.70440404939109e-05 0.000115420241869775 6.18539854089846e-10 2.00608398749401e-09 6.53919300023723e-09 1.47430855491211e-09
"4430922" 1.72761760963419e-10 3.81295379557749e-10 4.20850087185092e-10 4.82958526194492e-10 5.73773253859157e-10 6.89574314099223e-10 6.75107810029587e-10 1.18572759636472e-09
"505587" 2.69366664092125e-10 4.68650745015531e-10 0.000177926994124693 1.0662171837137e-09 0.00110369446438095 8.20012710089317e-10 0.000158601757852439 1.5049396065673e-09
"11544" 2.81621041130732e-10 8.78274293045081e-10 1.6291157420401e-09 2.02496719737943e-09 6.16724512255149e-10 0.00258602551741976 1.79667574258782e-09 0.000262064270756536
"4373910" 2.03643892535538e-10 7.95023342259982e-10 1.28372850126862e-09 0.00191792252651708 7.77634531680166e-10 9.03108480161404e-10 1.67434501693489e-09 1.72362736775812e-09
"2949328" 1.72761760963419e-10 3.81295379557749e-10 4.20850087185092e-10 4.82958526194492e-10 5.73773253859157e-10 6.89574314099223e-10 6.75107810029587e-10 1.18572759636472e-09
"189110" 1.72761760963419e-10 3.81295379557749e-10 4.20850087185092e-10 4.82958526194492e-10 5.73773253859157e-10 6.89574314099223e-10 6.75107810029587e-10 1.18572759636472e-09
"4359472" 4.23601294518127e-10 4.55413753864831e-10 5.69716971743864e-10 8.03603649905286e-10 5.80124450356157e-10 6.909671560011e-10 0.000160858151647205 1.19322196369367e-09
"182456" 1.72761760963419e-10 3.81295379557749e-10 4.20850087185092e-10 4.82958526194492e-10 5.73773253859157e-10 6.89574314099223e-10 6.75107810029587e-10 1.18572759636472e-09
"336468" 2.33382417662384e-10 4.2130421714722e-10 4.21313896263724e-10 5.30460114651688e-10 9.1142912931799e-05 7.7890013435736e-10 6.75690308985965e-10 1.18830375340518e-09
"297562" 1.72761760963419e-10 3.81295379557749e-10 4.20850087185092e-10 4.82958526194492e-10 5.73773253859157e-10 6.89574314099223e-10 6.75107810029587e-10 1.18572759636472e-09
"963239" 4.80834953519077e-09 2.52131919519772e-09 0.00140127077861662 1.0408558417182e-09 0.00116755587142597 1.49646131608046e-09 0.000152242693848045 0.000293623408434959
"4431292" 2.47699977444771e-10 9.3464525739517e-10 6.52081915264501e-10 6.34592134977725e-05 7.83989023623517e-10 0.000140584362158307 0.001027051229934 0.000152981102171766
"191687" 8.22389027400275e-10 1.33794880453455e-09 0.000321682762071803 6.65271357169094e-10 9.23462326727196e-10 9.82743429789005e-10 0.00189764862278235 0.00192920338052535
"308907" 2.10951465224276e-10 4.19512021099252e-10 7.05787848358361e-10 9.9459585055962e-10 9.46116617302476e-10 7.27766111281595e-10 0.000536196100524156 1.77752541086946e-09
"2851803" 2.25449988438845e-10 8.39814126742327e-10 1.17041084277691e-09 7.1009415639231e-10 6.51760762027214e-10 6.90613920464639e-10 0.000163518067162849 0.000372028911409059
