"V1" "V2"
"1" 258.515738516979 -220.289051280384
"2" -463.988263818868 -291.845345967611
"3" -609.211933212838 704.746854961703
"4" -412.597652678393 400.3669999053
"5" 345.288346752063 -288.953918240872
"6" -501.43059098926 -345.204790345882
"7" 349.108097829612 -288.810453789499
"8" -582.062489265085 -444.609967656231
"9" 415.897984841261 -438.092975955281
"10" -544.231531015387 -413.059412289635
"11" 243.034352962192 -216.052808651755
"12" -663.538492515772 738.037497930711
"13" -662.39062993528 741.09747098612
"14" -591.441310265604 -380.295393375518
"15" -594.068045882709 -418.173897854422
"16" -662.386450241187 739.312579182415
"17" 222.854830520601 -201.283437676186
"18" 423.775585732695 566.086092280033
"19" -503.937739400786 -341.760589259706
"20" -605.782523903162 -440.561641992193
"21" -448.810486511563 -289.583778719781
"22" 260.822646846248 -218.800950996805
"23" 173.482224683541 -151.006316903397
"24" -609.534438200923 704.343559133431
"25" 489.80579885495 -435.330131647859
"26" 408.820543059744 542.43097720722
"27" 409.743654106873 547.759260358679
"28" 489.492823120608 -435.978630655402
"29" -543.702947408732 -413.908049872667
"30" 489.347901959593 -435.562291813204
"31" 410.259363932899 547.713170918919
"32" 414.657395547197 -439.446585997569
"33" 379.502265352374 527.674176970827
"34" 233.644738048223 -111.8843677948
"35" 416.913552732447 -437.190846623357
"36" -504.731313860162 -343.376890108058
"37" 411.33880491818 547.311519962085
"38" 557.627316151575 -162.272640006757
"39" -542.70345713119 -417.123350231462
"40" -505.166544672668 -344.003090873541
"41" 425.605983128301 568.988678076979
"42" -419.124882170989 405.28749097973
"43" -499.511275000427 -344.208423552964
"44" 553.660852295038 -160.096533982049
"45" -420.103359321929 405.638842231099
"46" -705.008958452313 -534.586736088824
"47" 409.315304038591 548.348740969151
"48" 221.497491732755 -183.679058820454
"49" 451.863892073997 -413.072967378774
"50" -498.635305166352 -344.772384633574
"51" -419.90617033221 406.753996199019
"52" 221.304953835166 316.47780695224
"53" 429.708332995448 570.619157069335
"54" 489.73814393492 -435.479830748361
"55" -594.54730478301 -423.627999781739
"56" 489.345935183583 -435.901608452077
"57" 525.177534504564 -426.703905677008
"58" -577.337987945703 -445.300989032082
"59" 521.61173636802 -428.974211162172
"60" 409.730627234079 548.225228040592
"61" 429.468660563096 570.47269024128
"62" 449.71472314479 -414.984870251938
"63" -506.623129732758 -356.204522740255
"64" 424.893570104325 567.927599718133
"65" -704.636379514047 -535.599625321942
"66" -437.759921829457 420.40780393617
"67" -499.481376231234 -345.253554226569
"68" -608.622981600041 704.542590528888
"69" -582.206929513995 -443.531370376429
"70" 410.424289746669 544.7942435525
"71" -504.425986447451 -344.027437290584
"72" 399.291806924082 539.489041732964
"73" -580.945425147357 -443.952367592893
"74" -500.067822507466 -345.460089043511
"75" -421.383202055979 405.336619552842
"76" -416.00099483468 362.625213318091
"77" 424.706740514928 568.267564611414
"78" -421.285046346249 405.448969660013
"79" -504.52414025161 -344.74589785476
"80" 425.357918254275 567.980178208428
"81" 424.730985871824 568.738084417911
"82" 347.615981307207 -288.430221183515
"83" -609.248155512962 704.653296470314
"84" -505.506874151741 -344.373942133996
"85" -421.568184699468 409.480880675947
"86" 424.363516747749 565.613272453915
"87" -120.321270946213 52.0331474336167
"88" -543.389789141991 -413.269873420689
"89" 410.863805249661 546.910521126625
"90" -512.650186595405 -342.714099775457
"91" -326.79130598855 384.692020746993
"92" -419.240217050312 404.644933784341
"93" 410.290727302834 547.906154121482
"94" 410.844953338593 546.797663718792
"95" 423.574512990403 564.811600496431
"96" -419.074253692652 405.081457240997
"97" -391.472278978441 397.884686820238
"98" 347.633442286506 -288.313277438743
"99" -543.849040893231 -416.551856267392
"100" 348.72949646936 -288.749341755622
"101" -499.693666870183 -344.437650806391
"102" -421.834921504377 409.171747547466
"103" -543.30796895551 -416.751173701397
"104" 211.111809576328 -172.243149550786
"105" -394.336901042276 419.920050973166
"106" -542.697643146333 -416.09588475932
"107" -543.195887210445 -417.708714138356
"108" -421.381521773335 409.285720499424
"109" -544.031845265883 -418.386447390691
"110" 259.305826946449 -220.237728972538
"111" -609.83273225631 704.541643893578
"112" -608.639925716707 704.136721620586
"113" 426.115414338824 569.264377399044
"114" 410.155264483171 542.513117964342
"115" 451.616507482543 -410.83749878231
"116" -543.183111219609 -417.486256202197
"117" 227.13134475716 43.8413181171576
"118" -422.71292297939 408.762582856165
"119" 371.792820160831 -335.404089497205
"120" -504.457711909698 -344.536162410304
"121" -419.863941844545 405.307583334556
"122" 376.453855206495 465.364539628816
"123" 395.594565716637 525.585877740501
"124" 260.792424903813 -219.082429648032
"125" -581.60897485844 -445.701444770888
"126" 227.852232548926 350.669877430154
"127" 233.589125257002 -112.191322421297
"128" -421.394993554011 409.79988760869
"129" -612.836094119409 -445.009551282811
"130" -706.143159239802 -535.890734817365
"131" -418.609994086293 404.951392834666
"132" 376.318729429044 547.107290813422
"133" -498.777985569227 -345.490095789441
