"1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
"100361" 3.00594543801201e-10 0.00496639626286085 4.06812557882825e-10 6.74022098680991e-10 9.04728356985362e-05 2.04421837868883e-09 0.000731490393140685 2.10929629789256e-09 0.000124571403959785 1.79458145401067e-05
"100887" 2.25916008285234e-08 0.00902832216870712 0.000571170577223027 7.17447299174339e-10 2.6362156632228e-10 4.93541798984522e-05 0.00102924584820675 5.924554330534e-06 9.35572092186253e-06 6.76529583585316e-05
"102029" 5.94486838635832e-05 0.0102609006406906 0.000803474039526071 0.00164797730041126 1.00307887153809e-05 1.55395845771635e-08 0.000494215596390812 1.1825017524649e-09 5.24626021053105e-05 5.95671256142127e-05
"102173" 0.00432290481164943 0.00471680080231088 5.05247613629258e-05 5.7284833632235e-10 2.45575912422042e-10 1.06163518139177e-09 4.39830749251887e-05 5.03886755047122e-10 1.02539580297283e-09 3.34979705698716e-09
"102282" 2.15750818227045e-10 4.17274638716689e-10 3.40954801482383e-10 0.00554530973762501 0.000134580409942074 6.59439938176059e-10 5.03499179723539e-10 5.08012671246375e-06 6.69205400866737e-10 7.53031940822274e-10
"102350" 0.000911746992805318 7.39551762892773e-05 0.00124469599102492 8.10879902611877e-05 2.41778121904507e-10 1.15046241522502e-09 9.77512998490692e-10 2.07520922120515e-07 6.02556490746043e-06 7.74220833599456e-10
"102370" 0.000189938554706277 0.00287370311544527 0.000551237295054207 0.00168200277170775 2.52662010056352e-06 3.47585459255129e-09 0.0013963673229989 5.36522291652024e-10 1.80231455351853e-09 7.65935505893585e-10
"102371" 0.00206207137242233 0.00470312388899337 0.00321726242958927 4.1816116841823e-06 9.14205373653084e-07 9.18539173153758e-10 1.06386265569325e-09 4.95695440643289e-10 6.5302420948178e-10 7.36084387213904e-10
"102397" 3.05748171919391e-05 1.1017693249924e-05 7.26818401408656e-06 0.00818353216660364 0.000547087230603355 6.8768329614471e-10 1.07288125072895e-09 5.45911335367825e-05 0.00917525383249377 1.04578361079282e-05
"102445" 2.91800072353942e-10 0.0106948915349363 0.00100505968672433 4.51404594567921e-10 4.68274205937995e-10 1.19514028597481e-09 7.5789760526255e-10 5.45330495829779e-10 6.63833506705017e-10 7.27650486490936e-10
"102466" 0.0012864908169885 1.62221808695765e-09 0.00313935433196805 0.00351107959216984 0.000245811439099069 2.23747669415631e-09 6.09499246446364e-10 0.000403718754383989 6.98575395342987e-10 0.000409176515340507
"102503" 0.00424736631049857 0.00535681604951606 0.000170158720513743 0.000571564238159997 5.77105884670489e-07 7.91824162586391e-10 5.2434189217555e-10 5.02069873267071e-10 3.29251072527891e-06 7.32237158799394e-10
"200069" 2.2583953309024e-10 0.0202454355449332 1.07136407781431e-09 0.000494110493034119 0.00139215220919788 1.1339849880748e-09 2.25767026663699e-09 0.000142500428434002 7.37713366723309e-10 6.45639703375882e-06
"200108" 3.18157144711317e-10 9.65776041409526e-06 0.0160374560719887 0.00442035138268109 1.09376306698131e-09 0.00393762116703023 0.00478523459307696 7.34877039069975e-10 9.5206671568845e-08 6.41320304690631e-05
"200174" 0.000373819420475301 0.012868494423714 3.55684685577517e-06 1.75029996177496e-09 8.88337708170044e-05 8.35595395237219e-10 0.000186438338303828 7.31398287246861e-10 2.51656889404462e-05 4.34964219617014e-05
"200195" 6.80002234598057e-06 0.00700882622739315 0.000119018024912167 4.27661852309422e-10 0.00015942305525887 6.67887790365106e-10 5.06299304746704e-10 6.44371603071819e-10 6.53679051589298e-10 7.53265296228078e-10
"200246" 2.49028689915168e-10 5.63402647818439e-10 3.43540303710169e-10 5.41941128295263e-06 6.46891274315431e-06 9.38083382817728e-10 1.14214369349165e-05 0.000307515372275334 0.0173048359780054 9.37137596084614e-10
"200291" 2.15404268749775e-10 3.86898910026056e-10 3.42888392916462e-10 6.79571345190595e-10 0.00067318273029985 6.75420548442354e-10 0.000403094460452005 0.00491100278219252 0.000909216165299432 7.82036284197825e-10
"200293" 2.26550765370232e-05 4.00152414067402e-10 0.000513262831834842 0.00289409271627895 0.000272852800693954 8.10607434852536e-10 0.000836519230183931 1.42801012821046e-05 0.00656434346662263 8.54669480908638e-10
"200305" 0.000390912725100035 3.82856243628651e-10 0.00484471563424973 5.34492089610069e-05 0.000584850675024747 6.60035479900932e-10 5.40425918552322e-10 5.11140054857116e-10 8.15047439472082e-10 1.25950169849146e-05
