"1" "2" "3" "4"
"1050608" 5.50331329008718e-10 0.00010689471990738 5.19417305410041e-05 3.30734312774544e-09
"337732" 3.54697425477473e-10 5.49052905412348e-10 8.18779006208335e-10 1.05694840805727e-09
"4467992" 1.25571960352233e-08 0.000631024713076656 0.0059307472787548 9.06651034860412e-05
"4467993" 0.000181336287259464 0.000134436731529396 0.00280890299272998 0.000800589951127724
"4454356" 3.54697425477473e-10 5.49052905412348e-10 8.18779006208335e-10 1.05694840805727e-09
"1920110" 2.71056693944511e-05 0.000134410888482334 0.000110918018657279 1.20252853791333e-09
"318732" 3.54697425477473e-10 5.49052905412348e-10 8.18779006208335e-10 1.05694840805727e-09
"4424923" 3.84146651470678e-10 6.47899610001519e-10 1.65721859590316e-09 8.39467669437385e-05
"687185" 1.52838259247243e-09 0.000100537503765947 0.000211699919237077 0.000141797342314232
"4343580" 3.59149800028989e-10 9.62032160372798e-10 1.12278500610209e-09 8.39469266048917e-05
"460604" 9.48282499459305e-05 9.57869872905506e-05 9.81350795828312e-05 0.000266812312021497
"348376" 3.54697425477473e-10 5.49052905412348e-10 8.18779006208335e-10 1.05694840805727e-09
"1143045" 7.5731472592976e-10 3.35980433264729e-09 8.33636975347834e-10 8.39506405424614e-05
"4430922" 3.54697425477473e-10 5.49052905412348e-10 8.18779006208335e-10 1.05694840805727e-09
"505587" 7.52085753832817e-10 0.00032662423377918 0.000342057150753497 6.6853415975896e-09
"11544" 6.08787116159612e-05 2.01736944157989e-09 1.01469949616163e-09 0.000553125938439082
"4373910" 4.18218872031033e-10 7.69569640681021e-10 0.00091042950465265 1.94984543776762e-09
"2949328" 3.54697425477473e-10 5.49052905412348e-10 8.18779006208335e-10 1.05694840805727e-09
"189110" 3.54697425477473e-10 5.49052905412348e-10 8.18779006208335e-10 1.05694840805727e-09
"4359472" 2.81709325028812e-05 6.14383311616795e-10 2.27349601316923e-09 1.7665230190312e-09
"182456" 3.54697425477473e-10 5.49052905412348e-10 8.18779006208335e-10 1.05694840805727e-09
"336468" 7.37584027871164e-10 4.36077728496317e-05 9.63155832841499e-10 1.18141970391215e-09
"297562" 3.54697425477473e-10 5.49052905412348e-10 8.18779006208335e-10 1.05694840805727e-09
"963239" 0.000115145165719843 0.000598525819112032 0.00022354862109998 2.13177670655457e-09
"4431292" 4.18862177016592e-10 1.1144401976206e-09 3.56029980117894e-09 0.000818480174395627
"191687" 4.17500589859594e-05 1.57927060889241e-09 1.53982139259771e-09 0.00155453164231152
"308907" 7.03699207489619e-10 1.22228654649192e-09 1.21190811567796e-05 0.000236198973174996
"2851803" 5.14387079252361e-10 1.81746078262334e-09 9.27578219213882e-08 0.000293694280463085
"531495" 3.54697425477473e-10 5.49052905412348e-10 8.18779006208335e-10 1.05694840805727e-09
"1109552" 5.0770387993895e-10 3.92419145352901e-05 8.886641608352e-10 7.13667157463413e-05
"868003" 4.75405330609552e-10 3.27062718265634e-05 9.27800078453512e-10 1.05837225975178e-09
"4352768" 3.54697425477473e-10 5.49052905412348e-10 8.18779006208335e-10 1.05694840805727e-09
"4365172" 3.54697425477473e-10 5.49052905412348e-10 8.18779006208335e-10 1.05694840805727e-09
"586517" 3.54697425477473e-10 5.49052905412348e-10 8.18779006208335e-10 1.05694840805727e-09
"4319192" 4.44718145627691e-10 6.4872592347272e-05 0.000136235661318145 0.000349846027701674
"1028632" 5.54460159558435e-10 5.49628962024736e-10 8.2278387398487e-10 0.000230854898899058
"432284" 1.31730927332699e-09 0.000130126374323502 0.000186299579405448 0.000138613873503585
"42839" 3.54697425477473e-10 5.49052905412348e-10 8.18779006208335e-10 1.05694840805727e-09
"386088" 0.0106603179043562 0.0180658733641909 0.00514327953743358 0.00616783462756058
"4305923" 3.86265235228189e-05 2.26569304199656e-09 0.000105885882633058 5.56636679672504e-08
"190335" 3.54697425477473e-10 5.49052905412348e-10 8.18779006208335e-10 1.05694840805727e-09
"190332" 3.66458027891381e-10 5.77773154290466e-10 8.20565343620319e-10 0.000230855407804145
