"1" "2" "3" "4"
"SRS015805.SRX020562" 0.0413910744706966 0.57732846641226 0.0463121354816771 0.334968323635366
"SRS019552.SRX020547" 0.270432761788467 0.446517839098582 0.137257441420826 0.145791957692126
"SRS019552.SRX020529" 0.229097998437838 0.400560735180841 0.353940151350958 0.0164011150303628
"SRS015192.SRX020529" 0.260937137735174 0.18578285772012 0.474416892077857 0.0788631124668483
"SRS055187.SRX020687" 0.129796312674599 0.656892578957184 0.210595320151702 0.00271578821651478
"700014999.V35.241686" 0.502709693329402 0.0208044493296796 0.00119556071960246 0.475290296621316
"SRS043187.SRX020686" 0.243324493782528 0.0331569740705779 0.704012415961427 0.0195061161854674
"SRS045482.SRX020686" 0.255088624791519 0.292947215176688 0.438696889020525 0.013267271011268
"SRS019498.SRX020529" 0.00323798780459821 0.0857862346857189 0.758783528859589 0.152192248650094
"SRS017549.SRX019635" 0.0150442409183966 0.0136508469467633 0.968793149341595 0.00251176279324461
"SRS020263.SRX019636" 0.424180597533046 0.395613583243874 0.179552532144564 0.000653287078515651
"SRS017549.SRX019636" 0.00612217398410551 0.037661779755471 0.954429881503096 0.00178616475732745
"SRS020443.SRX019682" 0.663683354997721 0.129421032568907 0.0909461735167077 0.115949438916665
"SRS058182.SRX019682" 0.425970214386377 0.534664378185323 0.0387564557321333 0.000608951696166608
"SRS024482.SRX019684" 0.215250947487905 0.133538831891448 0.650662849499025 0.00054737112162165
"SRS017731.SRX019687" 0.225951726831746 0.529612446238373 0.144733652783175 0.0997021741467055
"SRS024124.SRX019686" 0.301244617605072 0.039035732395855 0.582944147191604 0.0767755028074694
"SRS016672.SRX019691" 0.000399070330369282 0.232310171116192 0.59925104525843 0.168039713295008
"SRS023942.SRX019690" 0.11500261362192 0.000797456225162322 0.882228751851491 0.00197117830142619
"SRS018343.SRX019691" 0.835032258299281 0.0138040971601444 0.104732067019992 0.0464315775205834
"SRS017035.SRX019691" 0.3120489215265 0.288494328894225 0.35552707955123 0.0439296700280446
