"1" "2"
"1050608" 1.55622289904617e-09 0.00012137734875131
"337732" 4.27219391671547e-10 9.40455073599871e-10
"4467992" 0.000632956503678272 0.00259347932495925
"4467993" 0.000393554860747712 0.00145852653582185
"4454356" 4.27219391671547e-10 9.40455073599871e-10
"1920110" 9.06304735116676e-05 1.52409102768491e-05
"318732" 4.27219391671547e-10 9.40455073599871e-10
"4424923" 4.68138590291725e-10 3.73482022607687e-05
"687185" 5.45727083620736e-05 0.000150637097939812
"4343580" 4.81383596823167e-10 3.7348173104037e-05
"460604" 9.38097755399758e-05 0.000176305039958594
"348376" 4.27219391671547e-10 9.40455073599871e-10
"1143045" 1.6965089621842e-05 3.30486909371932e-09
"4430922" 4.27219391671547e-10 9.40455073599871e-10
"505587" 8.01667052673694e-05 0.000299706458431029
"11544" 4.39412781048725e-05 0.00023006152182241
"4373910" 6.07937467192628e-10 0.00052286346899234
"2949328" 4.27219391671547e-10 9.40455073599871e-10
"189110" 4.27219391671547e-10 9.40455073599871e-10
"4359472" 1.69646959181786e-05 4.17154473428653e-09
"182456" 4.27219391671547e-10 9.40455073599871e-10
"336468" 1.69661062524263e-05 1.06691989965056e-09
"297562" 4.27219391671547e-10 9.40455073599871e-10
"963239" 0.000301996589413441 0.000128835992149741
"4431292" 6.04740774725374e-10 0.00036413723052747
"191687" 3.5948076704694e-05 0.000667814985382755
"308907" 1.81257529044134e-09 0.000112039946460143
"2851803" 6.65836956459936e-10 0.000130716146766514
"531495" 4.27219391671547e-10 9.40455073599871e-10
"1109552" 9.67609094229298e-06 4.40593830962128e-05
"868003" 1.27246904616453e-05 1.02656992920383e-09
"4352768" 4.27219391671547e-10 9.40455073599871e-10
"4365172" 4.27219391671547e-10 9.40455073599871e-10
"586517" 4.27219391671547e-10 9.40455073599871e-10
"4319192" 4.66872642179264e-06 0.000279166177511144
"1028632" 7.96437630475681e-10 0.000102705345357842
"432284" 5.75284087081454e-05 0.000153467435800916
"42839" 4.27219391671547e-10 9.40455073599871e-10
"386088" 0.0132021158664013 0.00624024324984648
"4305923" 1.76372033455568e-05 7.32184513539593e-05
"190335" 4.27219391671547e-10 9.40455073599871e-10
"190332" 4.41451195202978e-10 0.000102706126803747
"575041" 4.27219391671547e-10 9.40455073599871e-10
"1086889" 4.27219391671547e-10 9.40455073599871e-10
"928424" 7.54738418359912e-10 0.00027076852062463
"1072424" 0.00615502964781677 0.000745484391636347
"1076963" 0.000261584477676976 0.000236470471982553
"919484" 8.48297808295803e-06 1.63911063694078e-09
"364179" 3.33657977582583e-09 3.73418755518734e-05
"1053321" 0.000139956262170769 2.62360770801794e-08
"711590" 4.27219391671547e-10 9.40455073599871e-10
"4370328" 5.61924277539761e-10 2.80111578359327e-05
"4480529" 7.25619354231694e-10 2.80107974874066e-05
"188966" 4.27219391671547e-10 9.40455073599871e-10
"347575" 3.782640747158e-05 0.00065434330288314
"981912" 4.27219391671547e-10 9.40455073599871e-10
"3439402" 5.49526677361918e-10 0.000121379564834219
"4442504" 1.0397341876952e-09 0.000298778407164188
"258946" 4.27219391671547e-10 9.40455073599871e-10
"4422405" 8.80419932793251e-05 2.09395488447461e-05
"324882" 4.27219391671547e-10 9.40455073599871e-10
"272758" 5.09501816805075e-10 2.80112732355836e-05
"324888" 4.27219391671547e-10 9.40455073599871e-10
"186610" 4.27219391671547e-10 9.40455073599871e-10
"158804" 2.11995315319387e-05 9.33870788582475e-05
"495095" 0.000432625692622043 3.17457255615676e-09
"548686" 4.27219391671547e-10 9.40455073599871e-10
"4413214" 2.83313275276022e-05 0.000283098004948417
"1090059" 3.4654969621927e-05 0.000222493330022641
"179853" 4.27219391671547e-10 9.40455073599871e-10
"4318102" 3.54488601776601e-05 3.4008991186313e-05
"183089" 5.43978530618418e-10 0.000224084794725307
"318949" 5.43631433606882e-10 0.000205411119547986
"271811" 4.27219391671547e-10 9.40455073599871e-10
"4345640" 1.32199646235023e-09 7.46936745126622e-05
"182911" 1.67246616955022e-09 0.000410819069954365
"517754" 4.79417892689708e-10 4.66850154019236e-05
"3462224" 4.27219391671547e-10 9.40455073599871e-10
"1044611" 4.29539959571057e-10 1.8674611288109e-05
"174683" 5.6993962788755e-10 5.60216541035162e-05
"31235" 1.4542481899941e-05 0.000294778268695352
"296082" 1.04253739258301e-09 3.73394090670509e-05
"4372091" 4.29539959571057e-10 1.8674611288109e-05
"91688" 7.21046674995024e-05 1.24813336789797e-09
"950909" 0.000190046381148641 2.98119902023063e-05
"930301" 9.47169959975547e-10 7.46944996325766e-05
"12836" 3.35886399309443e-05 9.41249355993187e-05
"109193" 0.00279086165172636 6.28264763795066e-09
"173306" 4.27219391671547e-10 9.40455073599871e-10
"4405869" 4.27219391671547e-10 9.40455073599871e-10
"92262" 7.53608565313327e-10 0.000177400143404894
"92263" 4.27219391671547e-10 9.40455073599871e-10
"334340" 7.23921002759625e-10 7.4694991079554e-05
"667010" 4.27219391671547e-10 9.40455073599871e-10
"825808" 3.59020054794668e-05 0.000117042963141251
"336614" 9.51346738362628e-10 3.73471385554411e-05
"4307782" 4.27219391671547e-10 9.40455073599871e-10
"4353757" 6.26821643950169e-05 0.000263501167077129
"311174" 4.27219391671547e-10 9.40455073599871e-10
"609982" 5.11251416040443e-10 4.66849453255334e-05
"995893" 4.27219391671547e-10 9.40455073599871e-10
"4483174" 2.40374368671069e-08 0.00137246402498144
"4327501" 6.26813602232164e-05 0.000188808235286964
"4365611" 6.91330734094357e-10 4.66845489097449e-05
"4365614" 4.34104293968436e-10 3.73482771818297e-05
"4379957" 4.27219391671547e-10 9.40455073599871e-10
"16063" 4.27219391671547e-10 9.40455073599871e-10
"4440670" 4.27219391671547e-10 9.40455073599871e-10
