"1" "2" "3" "4" "5"
"1050608" 3.05783770187732e-10 8.09272659063824e-10 0.000226263160179354 0.000447897295933346 1.29849039500841e-09
"337732" 2.42959706470508e-10 3.82134439738505e-10 4.04927241761866e-10 9.26048199658479e-10 8.31712429102009e-10
"4467992" 0.000145345707938842 0.000706898414134065 0.00506177882781256 0.0010200586176545 0.000151541413316834
"4467993" 0.000184522901480043 6.54320913257784e-05 0.00292167033367243 7.93625303138735e-09 0.00106924281644347
"4454356" 2.42959706470508e-10 3.82134439738505e-10 4.04927241761866e-10 9.26048199658479e-10 8.31712429102009e-10
"1920110" 4.43271717069002e-06 0.000173959719871945 7.96353613470503e-05 1.31469412958126e-09 1.07907682830073e-09
"318732" 2.42959706470508e-10 3.82134439738505e-10 4.04927241761866e-10 9.26048199658479e-10 8.31712429102009e-10
"4424923" 2.67257275301066e-10 5.00156997870518e-10 5.38728658317422e-10 9.19381071886929e-05 1.01089203363776e-09
"687185" 4.5409209467127e-10 0.000106759355373181 0.000247465383148133 0.000255616452790247 1.667737481922e-09
"4343580" 2.4901646881712e-10 6.3459297987503e-10 4.15418590716941e-10 9.27434047683042e-10 8.25726486722499e-05
"460604" 1.28417839780196e-09 1.7374205835542e-09 0.000727001314846988 1.52161940862775e-09 0.000467843380544967
"348376" 2.42959706470508e-10 3.82134439738505e-10 4.04927241761866e-10 9.26048199658479e-10 8.31712429102009e-10
"1143045" 4.99913207145643e-10 2.6147299413915e-09 9.94749888093526e-05 9.42832569014644e-05 1.86157717539692e-09
"4430922" 2.42959706470508e-10 3.82134439738505e-10 4.04927241761866e-10 9.26048199658479e-10 8.31712429102009e-10
"505587" 5.13968026390499e-10 0.000393325564100305 0.000192901272885992 1.24526578631957e-09 8.95177942862303e-05
"11544" 3.47831429563478e-10 5.34725250271035e-10 4.29574442449055e-05 0.00220020718464269 4.48444857100305e-09
"4373910" 3.21055396442657e-10 7.34149668572508e-10 0.00100502834032187 1.91916084729498e-09 1.94340246036982e-09
"2949328" 2.42959706470508e-10 3.82134439738505e-10 4.04927241761866e-10 9.26048199658479e-10 8.31712429102009e-10
"189110" 2.42959706470508e-10 3.82134439738505e-10 4.04927241761866e-10 9.26048199658479e-10 8.31712429102009e-10
