"1" "2"
"SRS015805.SRX020562" 0.416972293182142 0.583027706817858
"SRS019552.SRX020547" 0.712927244159184 0.287072755840816
"SRS019552.SRX020529" 0.671267917088756 0.328732082911244
"SRS015192.SRX020529" 0.460274049343432 0.539725950656568
"SRS055187.SRX020687" 0.793120902101203 0.206879097898797
"700014999.V35.241686" 0.490070962592605 0.509929037407395
"SRS043187.SRX020686" 0.339399080241773 0.660600919758227
"SRS045482.SRX020686" 0.565114429304012 0.434885570695988
"SRS019498.SRX020529" 0.0217041076323586 0.978295892367641
"SRS017549.SRX019635" 0.0155713090492018 0.984428690950798
"SRS020263.SRX019636" 0.960141231838704 0.039858768161296
"SRS017549.SRX019636" 0.0312253120029032 0.968774687997097
"SRS020443.SRX019682" 0.814884208152378 0.185115791847622
"SRS058182.SRX019682" 0.997370760601353 0.0026292393986468
"SRS024482.SRX019684" 0.409441900406151 0.590558099593849
"SRS017731.SRX019687" 0.748973149880452 0.251026850119547
"SRS024124.SRX019686" 0.370020362303332 0.629979637696667
"SRS016672.SRX019691" 0.121544850486995 0.878455149513005
"SRS023942.SRX019690" 0.0954463197447304 0.904553680255269
"SRS018343.SRX019691" 0.894483758324497 0.105516241675503
"SRS017035.SRX019691" 0.628406406124082 0.371593593875917
"SRS013727.SRX019690" 0.00503651823898577 0.994963481761014
"SRS023944.SRX019690" 0.287429395871736 0.712570604128264
"SRS024236.SRX019696" 0.953594006655187 0.046405993344813
"SRS022637.SRX019696" 0.194618941260052 0.805381058739948
"SRS023942.SRX019698" 0.0516766974530412 0.948323302546959
"SRS016883.SRX019696" 0.995355484300838 0.00464451569916223
"SRS023204.SRX019696" 0.989032804948155 0.0109671950518451
"SRS022639.SRX019696" 0.90033264422227 0.0996673557777304
"SRS023942.SRX020204" 0.205107096790643 0.794892903209357
"SRS022639.SRX019692" 0.91582216900044 0.0841778309995606
"SRS024058.SRX020198" 0.568794422006447 0.431205577993553
"SRS019554.SRX020560" 0.765555568237596 0.234444431762404
"SRS014927.SRX020561" 0.00235107484464786 0.997648925155352
"SRS019554.SRX020561" 0.884914072444011 0.115085927555989
"SRS019554.SRX020582" 0.923175530792551 0.0768244692074487
"SRS019677.SRX020561" 0.839391120701152 0.160608879298848
"SRS019677.SRX020582" 0.973039192138162 0.0269608078618375
"SRS011551.SRX020668" 0.200313741102954 0.799686258897047
