"1" "2" "3" "4" "5" "6" "7" "8"
"SRS043704.SRX020690" 0.101446922848526 0.300344368677241 0.433376488764961 0.0396044222265066 0.000389959741018771 0.000627264351953708 0.123891858979356 0.000318714410436027
"SRS049355.SRX020682" 0.260805691850186 0.038642987713264 0.556329686447284 0.000594870308712894 0.0529697959337604 0.000827926560145825 0.0576925957981345 0.0321364453885122
"SRS019556.SRX020561" 0.105347001444052 0.0927753545753343 0.198407418789193 0.441725029994803 0.0140196256751952 0.147247301339433 0.000217056773510929 0.000261211408478829
"SRS015198.SRX020561" 0.000363048556202471 0.00017534374080199 0.000687814352346992 0.0835796592485018 0.0393891192695686 0.875389358878129 0.000225017432930525 0.000190638521519356
"SRS019679.SRX020561" 0.095256675766501 0.000697870398380685 0.388521658481401 0.0212608994251149 0.00328918232583719 0.489115543418109 0.00122745109657633 0.000630719088079541
"SRS015139.SRX020561" 0.011870321764826 0.000680450554802582 0.000456820724946466 0.000446667002092745 0.00100115507342859 0.98205247665185 0.00175133399981647 0.00174077422823672
"SRS015805.SRX020562" 0.0336589296926731 0.412582923448166 0.0742322276666121 0.0341371657754336 0.122309553470043 0.285744290444786 0.0369052730646086 0.000429636437676995
"SRS019552.SRX020547" 0.261185738649096 0.234195587808345 0.0601572388034974 0.0905768558305349 0.160230334557435 0.192940261135811 0.000367869613772397 0.000346113601508469
"SRS019552.SRX020529" 0.204897221579693 0.187786830650609 0.250062282095829 0.210251778914114 0.126751457557233 0.0197913557919555 0.000231616086400031 0.00022745732416699
"SRS015192.SRX020529" 0.239073061690966 0.208432536271406 0.0482427428222958 0.330862810675781 0.0725077769934128 0.10020846353631 0.000288402742253002 0.000384205267575937
"SRS023019.SRX020682" 0.0483075323777449 0.0702178613507704 0.380772006463945 0.40847598052451 0.0199227029071671 0.000439060758691576 0.0713522170698407 0.000512638547329992
"SRS024545.SRX020682" 0.217410873238467 0.00502763460911405 0.687890631617309 0.000269387917743246 0.0301366736453642 0.010490428177144 0.0484811881035486 0.000293182691310045
"SRS042602.SRX020690" 0.00174506461809839 0.168123899125083 0.34460294265741 0.0854720339522155 0.0216819013677533 0.00582124138535786 0.372173885700617 0.000379031193465047
"SRS063268.SRX020548" 0.0603612390761271 0.000355595501364798 0.67888265568564 0.00655623668859173 0.127897883634976 0.0888555439553815 0.0352487831144198 0.00184206234349881
"SRS042360.SRX021470" 0.00763285511472657 0.000333851936604602 0.318682317551016 0.416581528829431 0.000798419332902405 0.0463444837528498 0.174163733220211 0.0354628102622587
"SRS065711.SRX022229" 0.000386800780717862 0.025651035044328 0.307974724881023 0.279443974354528 0.000472161331217849 0.0136127921506557 0.213290406347852 0.159168105109677
"SRS024365.SRX019684" 0.340600013704683 0.0289971906073885 0.264927223017179 0.00754042972488293 0.00042671308300149 0.000924298667986982 0.236329432171156 0.120254699023723
"SRS018555.SRX020529" 0.00120051278570911 0.0967559604726376 0.483224512287954 0.000319622195716387 0.000430988861361297 0.416798597678515 0.000688946757757973 0.000580858960348682
"SRS055187.SRX020687" 0.10542055842149 0.000714912692464301 0.299896063762604 0.0245972642530736 0.557210499178862 0.000387500051599604 0.00310339278182959 0.00866980885807685
"700014999.V35.241686" 0.452192495300077 0.000526796780685047 0.00295040466715801 0.000399571321682481 0.0150116791147779 0.0185037593001867 0.136892924234836 0.373522369280596
"SRS043187.SRX020686" 0.201439021456554 0.188836283376169 0.360857223570848 0.216056667641645 0.00122966575347193 0.0204089178341136 0.000506403792203656 0.0106658165749942
"SRS045482.SRX020686" 0.182995363546157 0.312778087424126 0.219198717623507 0.106997378028487 0.173278799673281 0.00192100181217015 0.001539346488284 0.00129130540398835
"SRS045403.SRX020690" 0.0161272253409977 0.0347888916927806 0.20132045078379 0.226874572149675 0.0167941210720724 0.00022116871074923 0.503671198143301 0.000202372106634106
"SRS019498.SRX020529" 0.00221863460256696 0.165667610921542 0.00917884573725723 0.581520141458397 0.0176436098596569 0.22322229034439 0.000276128865420742 0.000272738210769445
"SRS020267.SRX019636" 0.107980583663177 0.0290152465607983 0.170506342280427 0.636814544892775 0.0249876939324001 0.00063448059287143 0.0260002259518952 0.00406088212565664
