"1" "2" "3"
"1050608" 7.42162814852801e-10 0.000122404093662379 1.37956276312972e-08
"337732" 4.37952712350906e-10 6.32317277288836e-10 8.05661455150603e-10
"4467992" 0.000321849136107598 0.001395159946882 0.00275340314803882
"4467993" 0.000409033292126843 0.000416758743749279 0.00170401173588412
"4454356" 4.37952712350906e-10 6.32317277288836e-10 8.05661455150603e-10
"1920110" 2.25332873825669e-05 0.000170585661480754 1.71525329327572e-05
"318732" 4.37952712350906e-10 6.32317277288836e-10 8.05661455150603e-10
"4424923" 4.82464337499972e-10 7.62648203015213e-10 4.7992199277922e-05
"687185" 4.51698917942157e-05 0.000207529322242315 6.75378387428725e-09
"4343580" 4.42368704858674e-10 2.62474736130062e-09 4.79899004535758e-05
"460604" 0.000105281143345963 0.000126373744782083 0.000137222684729967
"348376" 4.37952712350906e-10 6.32317277288836e-10 8.05661455150603e-10
"1143045" 1.30742797224707e-09 3.76642629944669e-05 2.06648295521836e-09
"4430922" 4.37952712350906e-10 6.32317277288836e-10 8.05661455150603e-10
"505587" 1.86848614765406e-09 0.00048023403958892 7.07418184380208e-09
"11544" 7.04224785619611e-05 1.87419807343514e-09 0.000290377117914387
"4373910" 5.98400061863197e-10 2.02140916594855e-09 0.000671881722446793
"2949328" 4.37952712350906e-10 6.32317277288836e-10 8.05661455150603e-10
"189110" 4.37952712350906e-10 6.32317277288836e-10 8.05661455150603e-10
"4359472" 2.60877924232918e-05 6.89554998201984e-10 1.85985820747196e-09
"182456" 4.37952712350906e-10 6.32317277288836e-10 8.05661455150603e-10
"336468" 9.51066174592768e-10 3.7665755797811e-05 8.20006296150941e-10
"297562" 4.37952712350906e-10 6.32317277288836e-10 8.05661455150603e-10
"963239" 0.000110651618328908 0.000640641472938048 1.51142765058888e-09
"4431292" 5.70177775667026e-10 2.28867402005832e-09 0.000467916957201056
"191687" 6.65748547246792e-05 2.283609806247e-09 0.000837360683320064
"308907" 2.44713613471364e-09 3.08522664499866e-08 0.000143933527456614
"2851803" 8.2629201973051e-10 1.05533534475349e-09 0.000167970297745944
"531495" 4.37952712350906e-10 6.32317277288836e-10 8.05661455150603e-10
"1109552" 6.27226895588244e-10 3.77513207930909e-05 3.58861271012634e-05
"868003" 5.97318113212648e-10 2.8249808063543e-05 8.06733908635961e-10
"4352768" 4.37952712350906e-10 6.32317277288836e-10 8.05661455150603e-10
"4365172" 4.37952712350906e-10 6.32317277288836e-10 8.05661455150603e-10
"586517" 4.37952712350906e-10 6.32317277288836e-10 8.05661455150603e-10
"4319192" 5.32493180793149e-10 7.66063898143472e-05 0.000274329268589802
"1028632" 1.18133424526979e-09 6.33796146882769e-10 0.000131976450537442
"432284" 1.82730816789164e-09 0.000119774814972817 0.000207326348193895
"42839" 4.37952712350906e-10 6.32317277288836e-10 8.05661455150603e-10
"386088" 0.0103597374334237 0.0167159415383063 0.00500777369436219
"4305923" 2.90949080398237e-05 5.00007962577738e-09 9.04477430790984e-05
"190335" 4.37952712350906e-10 6.32317277288836e-10 8.05661455150603e-10
"190332" 4.62761454385906e-10 6.84955691078235e-10 0.00013197770724545
"575041" 4.37952712350906e-10 6.32317277288836e-10 8.05661455150603e-10
"1086889" 4.37952712350906e-10 6.32317277288836e-10 8.05661455150603e-10
